# {"t_start": 1602725079.6637895, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-50,50,33.576246
-50,50,92.170578
-50,50,146.321146
-50,50,200.508489
-50,50,254.755618
-50,50,309.092049
-50,50,363.320358
-50,50,417.578185
-50,50,472.978254
-50,50,527.362824
-50,50,581.851061
-50,50,636.091611
-50,50,690.315002
-50,50,744.67561
-50,50,799.019717
-50,50,853.370392
-50,50,907.839939
-50,50,962.149699
-50,50,1016.439554
-50,50,1070.946404
-50,50,1125.666194
-50,50,1180.119648
-50,50,1234.690532
-47,50,1288.979867
-50,50,1343.486424
-50,50,1397.963465
-50,50,1452.337171
-50,50,1506.548476
-50,50,1560.719452
-50,50,1614.956344
-50,50,1669.25282
-49,50,1723.455165
-50,50,1777.660351
-49,50,1831.939397
-49,50,1886.168592
-50,50,1940.431268
-50,50,1994.695058
-49,50,2048.889851
-45,50,2103.126175
-49,50,2157.465906
-49,50,2211.906092
-50,50,2266.315703
-49,50,2320.67844
-49,50,2374.87646
-47,50,2429.122082
-49,50,2483.330211
-50,50,2537.520205
-49,50,2591.68981
-47,50,2645.966116
-48,50,2700.454105
-49,50,2755.117861
-50,50,2806.905579
-49,50,2858.699346
-50,50,2910.487496
-49,50,2962.285371
-49,50,3014.075295
-48,50,3065.869097
-48,50,3117.660679
-47,50,3169.447276
-47,50,3221.238772
-47,50,3273.086637
-47,50,3327.320455
-49,50,3381.505491
-46,50,3435.737846
-49,50,3489.940343
-48,50,3544.153999
-50,50,3598.389673
-48,50,3652.583076
-49,50,3706.82107
-47,50,3760.987434
-44,50,3815.190685
-49,50,3869.408319
-48,50,3923.627001
-48,50,3977.872147
-48,50,4032.056878
-49,50,4086.230606
-47,50,4140.420438
-48,50,4194.644253
-46,50,4248.856083
-50,50,4303.030008
-47,50,4357.236845
-47,50,4411.415712
-48,50,4465.621145
-48,50,4519.790739
-49,50,4574.00349
-50,50,4628.18779
-48,50,4682.400413
-46,50,4736.59086
-49,50,4790.797646
-43,50,4844.953852
-48,50,4899.160068
-46,50,4953.338981
-46,50,5007.55985
-48,50,5061.784881
-47,50,5115.963144
-46,50,5170.196537
-49,50,5224.411556
-48,50,5278.59143
-50,50,5332.824427
-48,50,5387.00887
-49,50,5441.204845
-49,50,5495.433963
-49,50,5549.618549
-48,50,5603.780323
-48,50,5657.956185
-48,50,5712.15691
-50,50,5766.343758
-47,50,5820.585319
-50,50,5874.759549
-49,50,5928.966579
-47,50,5983.194211
-38,50,6034.979757
-40,50,6086.767121
-42,50,6138.560084
-36,50,6190.349497
-44,50,6242.130258
-34,50,6293.91611
-42,50,6345.708586
-39,50,6397.497237
-42,50,6449.276873
-50,50,6501.055017
-50,50,6555.964317
-49,50,6610.595728
-48,50,6664.749692
-47,50,6718.95302
-50,50,6773.804389
-49,50,6828.190727
-47,50,6882.576785
-48,50,6936.772091
-45,50,6990.944319
-47,50,7045.162541
-49,50,7099.563125
-49,50,7153.833419
-50,50,7208.758799
-46,50,7262.923295
-48,50,7317.104261
-50,50,7371.33137
-47,50,7425.72829
-50,50,7479.908201
-49,50,7534.084762
-50,50,7588.321114
-49,50,7642.533921
-47,50,7697.275236
-50,50,7751.516887
-48,50,7806.171601
-46,50,7860.48343
-48,50,7915.124228
-48,50,7969.453332
-47,50,8023.735576
-48,50,8078.052621
-48,50,8132.294727
-49,50,8186.648238
-49,50,8240.790419
-49,50,8294.975944
-50,50,8349.130239
-47,50,8403.333353
-50,50,8457.527068
-50,50,8511.683812
-50,50,8565.879425
-46,50,8620.094477
-49,50,8674.254701
-46,50,8728.456311
-48,50,8782.67241
-48,50,8836.826754
-50,50,8891.053836
-48,50,8945.225098
-50,50,8999.385074
-50,50,9053.544895
-49,50,9107.726973
-49,50,9161.923392
-6,50,9216.075706
-15,50,9267.8824
-13,50,9319.676166
-4,50,9371.472301
-34,50,9423.275184
-11,50,9475.081138
-28,50,9526.906549
-39,50,9578.709043
-5,50,9630.534297
-37,50,9682.333414
-49,50,9734.146407
-49,50,9788.326505
-50,50,9842.515106
-50,50,9896.670768
-49,50,9950.84971
-50,50,10005.114002
-49,50,10059.298024
-50,50,10113.458211
-48,50,10167.648928
-50,50,10221.838031
-49,50,10276.011918
-50,50,10330.193675
-49,50,10384.391611
-48,50,10438.567883
-48,50,10492.718844
-50,50,10546.93108
-50,50,10601.108689
-50,50,10655.311971
-47,50,10709.541032
-50,50,10763.741269
-50,50,10817.94539
-47,50,10872.129399
-50,50,10926.362838
-46,50,10980.565043
-50,50,11034.78139
-49,50,11088.9491
-48,50,11143.135251
-48,50,11197.271928
-50,50,11251.463354
-48,50,11305.636461
-48,50,11359.805811
-47,50,11413.97758
-50,50,11468.166854
-48,50,11522.35866
-49,50,11576.555374
-49,50,11630.748765
-49,50,11684.960432
-50,50,11739.166256
-48,50,11793.373322
-50,50,11847.573622
-50,50,11901.720159
-50,50,11955.907419
-47,50,12010.096319
-46,50,12064.321974
-49,50,12118.511943
-49,50,12172.706305
-50,50,12226.90313
-47,50,12281.067379
-50,50,12335.244198
-49,50,12389.438325
-2,50,12443.630274
-25,50,12495.424424
-6,50,12547.215672
-2,50,12599.001399
-40,50,12650.806548
-23,50,12702.608848
-10,50,12754.423436
-2,50,12806.223
-40,50,12858.024919
-5,50,12909.817599
-50,50,12961.627439
-46,50,13015.919472
-50,50,13070.103704
-49,50,13124.3393
-49,50,13178.53923
-49,50,13232.702223
-50,50,13286.878945
-50,50,13341.038887
-49,50,13395.26042
-49,50,13449.410213
-50,50,13503.59819
-49,50,13557.820712
-48,50,13612.071514
-49,50,13666.325294
-49,50,13720.515765
-48,50,13774.699961
-49,50,13828.901141
-50,50,13883.098431
-50,50,13937.298352
-48,50,13991.507103
-50,50,14045.703567
-49,50,14099.92498
-50,50,14154.109867
-49,50,14208.3145
-50,50,14262.519978
-49,50,14316.70478
-49,50,14370.907039
-49,50,14425.066302
-47,50,14479.268286
-50,50,14533.448786
-49,50,14587.632763
-50,50,14641.80154
-49,50,14695.970271
-50,50,14750.164391
-50,50,14804.353798
-49,50,14858.525363
