# {"t_start": 1602725079.7973957, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-50,50,31.158779
-50,50,92.032803
-50,50,146.199148
-50,50,200.374076
-50,50,254.61917
-50,50,308.966276
-50,50,363.188247
-50,50,417.440008
-50,50,472.846756
-50,50,527.227301
-50,50,581.718731
-50,50,635.961902
-50,50,690.177474
-50,50,744.537261
-50,50,798.881577
-50,50,853.233838
-50,50,907.704567
-50,50,962.016018
-50,50,1016.313771
-50,50,1070.820766
-50,50,1125.535775
-50,50,1179.984435
-50,50,1234.561228
-50,50,1288.853805
-48,50,1343.355295
-50,50,1397.841606
-50,50,1452.192663
-50,50,1506.411079
-50,50,1560.57769
-50,50,1614.828781
-50,50,1669.121975
-49,50,1723.323781
-49,50,1777.537174
-50,50,1831.80896
-50,50,1886.035521
-50,50,1940.29602
-49,50,1994.566848
-50,50,2048.756768
-49,50,2102.986101
-50,50,2157.33172
-49,50,2211.765982
-50,50,2266.184879
-50,50,2320.539397
-50,50,2374.745369
-48,50,2428.991101
-48,50,2483.20149
-49,50,2537.390051
-50,50,2591.55875
-48,50,2645.830346
-50,50,2700.3219
-45,50,2754.976429
-50,50,2806.77239
-47,50,2858.560436
-45,50,2910.354411
-50,50,2962.144151
-48,50,3013.945478
-48,50,3065.742085
-46,50,3117.539472
-46,50,3169.336018
-50,50,3221.129587
-50,50,3272.953802
-46,50,3327.193407
-46,50,3381.371487
-47,50,3435.60825
-50,50,3489.806972
-49,50,3544.018841
-50,50,3598.262419
-48,50,3652.451667
-47,50,3706.677955
-50,50,3760.859059
-49,50,3815.067963
-50,50,3869.274735
-49,50,3923.49017
-46,50,3977.729306
-49,50,4031.923024
-48,50,4086.086094
-49,50,4140.284649
-50,50,4194.51125
-50,50,4248.7229
-50,50,4302.895395
-49,50,4357.108714
-48,50,4411.282362
-47,50,4465.48145
-50,50,4519.656704
-44,50,4573.873346
-50,50,4628.05761
-50,50,4682.264396
-48,50,4736.45437
-50,50,4790.660296
-48,50,4844.824399
-48,50,4899.026726
-47,50,4953.208392
-50,50,5007.428085
-50,50,5061.648407
-49,50,5115.829062
-50,50,5170.06777
-49,50,5224.274958
-44,50,5278.461185
-46,50,5332.692442
-47,50,5386.877709
-50,50,5441.076302
-49,50,5495.315337
-48,50,5549.47645
-50,50,5603.651227
-50,50,5657.821683
-48,50,5712.030431
-48,50,5766.211391
-50,50,5820.443671
-50,50,5874.626375
-49,50,5928.831686
-44,50,5983.057572
-38,50,6034.841603
-35,50,6086.634308
-30,50,6138.414663
-41,50,6190.209561
-44,50,6241.988739
-45,50,6293.779634
-33,50,6345.569924
-48,50,6397.355729
-46,50,6449.138438
-50,50,6500.928722
-49,50,6555.844483
-49,50,6610.457996
-48,50,6664.616287
-49,50,6718.816689
-49,50,6773.676065
-50,50,6828.060329
-48,50,6882.453019
-47,50,6936.644947
-48,50,6990.81445
-49,50,7045.03109
-50,50,7099.431533
-49,50,7153.698005
-47,50,7208.625785
-49,50,7262.797944
-49,50,7316.975218
-49,50,7371.195989
-50,50,7425.600804
-49,50,7479.782415
-49,50,7533.952315
-50,50,7588.17714
-49,50,7642.398237
-48,50,7697.147774
-47,50,7751.381913
-49,50,7806.019918
-50,50,7860.34012
-50,50,7914.980926
-49,50,7969.317651
-49,50,8023.597024
-47,50,8077.921937
-50,50,8132.162751
-49,50,8186.506472
-48,50,8240.659186
-50,50,8294.828689
-49,50,8348.994017
-50,50,8403.203625
-50,50,8457.392992
-49,50,8511.552666
-50,50,8565.740957
-49,50,8619.962557
-49,50,8674.122363
-48,50,8728.330685
-50,50,8782.541998
-50,50,8836.689256
-47,50,8890.918891
-46,50,8945.093616
-49,50,8999.251775
-49,50,9053.414455
-48,50,9107.601738
-47,50,9161.794117
-15,50,9215.944139
-40,50,9267.728417
-38,50,9319.522716
-3,50,9371.315166
-30,50,9423.116889
-3,50,9474.901983
-32,50,9526.691899
-7,50,9578.48792
-13,50,9630.286827
-35,50,9682.080189
-50,50,9733.905237
-48,50,9788.187857
-50,50,9842.380878
-49,50,9896.538056
-50,50,9950.717129
-50,50,10004.984819
-49,50,10059.166604
-49,50,10113.320788
-49,50,10167.512746
-49,50,10221.70672
-47,50,10275.877782
-50,50,10330.056889
-49,50,10384.254112
-50,50,10438.446837
-49,50,10492.587442
-50,50,10546.796547
-50,50,10600.970405
