# {"t_start": 1602725078.489373, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-50,50,28.518006
-50,50,93.341822
-50,50,147.497173
-50,50,201.68127
-50,50,255.928368
-50,50,310.271036
-50,50,364.507316
-50,50,418.743481
-50,50,474.15425
-50,50,528.535399
-50,50,583.029946
-50,50,637.278551
-50,50,691.490129
-50,50,745.846073
-50,50,800.18377
-50,50,854.545105
-50,50,909.008835
-50,50,963.321657
-50,50,1017.635601
-50,50,1072.130593
-50,50,1126.839493
-50,50,1181.294924
-50,50,1235.869746
-50,50,1290.158143
-50,50,1344.662602
-50,50,1399.152164
-50,50,1453.506338
-50,50,1507.717058
-50,50,1561.889048
-50,50,1616.132027
-48,50,1670.427868
-50,50,1724.629257
-50,50,1778.843943
-50,50,1833.117088
-50,50,1887.339877
-50,50,1941.605106
-50,50,1995.871499
-50,50,2050.076678
-45,50,2104.29772
-50,50,2158.643454
-48,50,2213.079668
-48,50,2267.495209
-50,50,2321.846801
-50,50,2376.057098
-47,50,2430.303946
-49,50,2484.51058
-48,50,2538.701554
-49,50,2592.866014
-50,50,2647.140063
-48,50,2701.633852
-35,50,2756.28623
-49,50,2808.079212
-47,50,2859.872807
-49,50,2911.659418
-49,50,2963.454476
-49,50,3015.249991
-48,50,3067.04403
-49,50,3118.840214
-49,50,3170.623678
-50,50,3222.405924
-48,50,3274.258319
-49,50,3328.507799
-49,50,3382.673245
-49,50,3436.912263
-48,50,3491.117415
-48,50,3545.330788
-48,50,3599.564352
-49,50,3653.751562
-48,50,3707.983842
-49,50,3762.161262
-50,50,3816.36495
-49,50,3870.582072
-48,50,3924.801416
-50,50,3979.039628
-50,50,4033.231289
-50,50,4087.401644
-48,50,4141.5931
-46,50,4195.816336
-50,50,4250.028449
-49,50,4304.208305
-49,50,4358.410196
-49,50,4412.58841
-49,50,4466.793566
-50,50,4520.965332
-49,50,4575.183043
-49,50,4629.361963
-50,50,4683.572272
-49,50,4737.767353
-50,50,4791.966731
-48,50,4846.128585
-48,50,4900.33544
-49,50,4954.511733
-46,50,5008.735121
-48,50,5062.957605
-47,50,5117.137883
-48,50,5171.379223
-49,50,5225.578423
-47,50,5279.767185
-47,50,5333.999608
-50,50,5388.186002
-49,50,5442.383687
-48,50,5496.614645
-49,50,5550.785928
-48,50,5604.957641
-50,50,5659.129982
-49,50,5713.328478
-50,50,5767.518687
-46,50,5821.743695
-50,50,5875.9344
-46,50,5930.137949
-43,50,5984.372223
-42,50,6036.155252
-47,50,6087.942879
-40,50,6139.729297
-43,50,6191.525751
-41,50,6243.308773
-48,50,6295.090484
-33,50,6346.891235
-40,50,6398.675636
-43,50,6450.471998
-48,50,6502.263442
-48,50,6557.146222
-48,50,6611.760086
-49,50,6665.926391
-49,50,6720.126783
-49,50,6774.981405
-47,50,6829.364851
-50,50,6883.753804
-47,50,6937.947191
-50,50,6992.123159
-48,50,7046.35015
-49,50,7100.738159
-49,50,7155.005842
-49,50,7209.935978
-47,50,7264.100768
-48,50,7318.283262
-48,50,7372.504012
-48,50,7426.90721
-50,50,7481.080523
-49,50,7535.259874
-49,50,7589.489691
-50,50,7643.704121
-47,50,7698.45001
-49,50,7752.691702
-49,50,7807.333887
-48,50,7861.645031
-49,50,7916.286992
-49,50,7970.632295
-50,50,8024.906707
-46,50,8079.22777
-49,50,8133.4746
-48,50,8187.808138
-49,50,8241.962409
-47,50,8296.145493
-48,50,8350.302885
-49,50,8404.5106
-47,50,8458.695126
-50,50,8512.858632
-50,50,8567.049883
-49,50,8621.271524
-50,50,8675.431743
-49,50,8729.632443
-49,50,8783.849522
-48,50,8837.995966
-50,50,8892.222404
-44,50,8946.407088
-49,50,9000.555023
-48,50,9054.72159
-48,50,9108.901263
-46,50,9163.099932
-4,50,9217.248487
-35,50,9269.042059
-43,50,9320.840547
-15,50,9372.634498
-3,50,9424.418294
-38,50,9476.208758
-16,50,9527.996849
-34,50,9579.792681
-30,50,9631.588468
-33,50,9683.382767
-48,50,9735.211022
-49,50,9789.495586
-50,50,9843.68722
-50,50,9897.839328
-48,50,9952.017889
-50,50,10006.288581
-49,50,10060.473198
-49,50,10114.629628
-49,50,10168.819721
-48,50,10223.012495
-49,50,10277.185793
-49,50,10331.363526
-50,50,10385.564001
-50,50,10439.745007
-49,50,10493.895515
-50,50,10548.105322
-50,50,10602.273373
-48,50,10656.488675
-49,50,10710.719106
-49,50,10764.915681
-49,50,10819.127757
-49,50,10873.291037
-50,50,10927.538064
-49,50,10981.734077
-48,50,11035.946992
-47,50,11090.126059
-48,50,11144.310535
-49,50,11198.449595
-49,50,11252.631641
-49,50,11306.809476
-49,50,11360.970736
-48,50,11415.157893
-49,50,11469.347064
-48,50,11523.533106
-49,50,11577.727133
-48,50,11631.924207
-49,50,11686.135437
-49,50,11740.338466
-47,50,11794.546581
-48,50,11848.75039
-50,50,11902.894482
-49,50,11957.081842
-50,50,12011.268035
-49,50,12065.491626
-49,50,12119.684519
-50,50,12173.877502
-50,50,12228.080408
-50,50,12282.24223
-50,50,12336.418923
-50,50,12390.615252
-26,50,12444.803667
-3,50,12496.593547
-2,50,12548.388398
-11,50,12600.173977
-28,50,12651.96541
-3,50,12703.764653
-5,50,12755.557326
-25,50,12807.358665
-11,50,12859.162534
-26,50,12910.962907
-48,50,12962.768556
-47,50,13017.099339
-50,50,13071.281203
-48,50,13125.516309
-49,50,13179.714761
-47,50,13233.874937
-47,50,13288.051532
-49,50,13342.21385
-50,50,13396.427241
-46,50,13450.5877
-49,50,13504.774222
-48,50,13558.992392
-49,50,13613.242236
-50,50,13667.501659
-48,50,13721.689305
-50,50,13775.877597
-48,50,13830.075615
-50,50,13884.27869
-49,50,13938.463778
-50,50,13992.682199
-48,50,14046.87694
-49,50,14101.095701
-49,50,14155.292988
-48,50,14209.488734
-50,50,14263.697275
-48,50,14317.888283
-48,50,14372.083016
-49,50,14426.234074
-50,50,14480.444359
-49,50,14534.623173
-50,50,14588.809546
-50,50,14642.96998
-50,50,14697.140381
-49,50,14751.346822
-50,50,14805.529157
-50,50,14859.694722
-50,50,14913.925072
-49,50,14968.13304
-49,50,15022.295335
-49,50,15076.494142
-48,50,15130.731293
-50,50,15184.913822
-50,50,15239.106954
-49,50,15293.324657
-46,50,15347.556106
-48,50,15401.728333
-48,50,15455.896136
-49,50,15510.056902
-49,50,15564.27976
-48,50,15618.456303
-29,50,15672.655403
-22,50,15724.447126
-27,50,15776.237799
-27,50,15828.031648
-15,50,15879.825272
-32,50,15931.618465
-29,50,15983.415359
-20,50,16035.206364
-25,50,16087.002027
-31,50,16138.792953
-50,50,16190.597941
-49,50,16244.878164
-46,50,16299.036948
-46,50,16353.276288
-47,50,16407.463588
-48,50,16461.64515
-50,50,16515.906664
-48,50,16570.065785
-48,50,16624.321603
-50,50,16678.556769
-49,50,16732.723996
-48,50,16786.936038
-49,50,16841.133174
-49,50,16895.333127
-49,50,16949.525393
-49,50,17003.698144
-48,50,17057.894477
-49,50,17112.117522
-47,50,17166.340551
-48,50,17220.526387
-49,50,17274.75027
-50,50,17328.940513
-49,50,17383.138122
-48,50,17437.367527
-48,50,17491.553468
-50,50,17545.75856
-49,50,17599.956244
-49,50,17654.142473
-49,50,17708.318732
-49,50,17762.490371
-50,50,17816.686894
-50,50,17870.894608
-49,50,17925.093322
-50,50,17979.297177
-50,50,18033.457396
-49,50,18087.685333
-48,50,18141.912499
-50,50,18196.101914
-47,50,18250.296481
-50,50,18304.50575
-50,50,18358.695545
-50,50,18412.914768
-50,50,18467.109219
-49,50,18521.311724
-49,50,18575.481974
-50,50,18629.660246
-49,50,18683.866285
-49,50,18738.090047
-48,50,18792.315216
-50,50,18846.488342
-23,50,18900.652226
-11,50,18952.442638
-3,50,19004.237042
-3,50,19056.02866
-4,50,19107.815068
-5,50,19159.616234
-15,50,19211.40763
-5,50,19263.202364
-2,50,19315.008667
-3,50,19366.814227
-50,50,19418.655879
-50,50,19472.956987
-49,50,19527.172419
-48,50,19581.39262
-50,50,19635.654191
-49,50,19689.826887
-49,50,19744.079942
-49,50,19798.256725
-50,50,19852.482632
-47,50,19906.661325
-48,50,19960.840404
-48,50,20015.07974
-50,50,20069.312723
-49,50,20123.548279
-49,50,20177.728997
-48,50,20231.934782
-49,50,20286.124396
-49,50,20340.365668
-49,50,20394.621735
-50,50,20448.903205
-49,50,20503.119709
-50,50,20557.343225
-48,50,20611.592711
-49,50,20665.897254
-49,50,20720.17088
-50,50,20774.42017
-49,50,20828.693998
-48,50,20882.902379
-47,50,20937.112687
-49,50,20991.362068
-50,50,21045.599085
-49,50,21099.866683
-50,50,21154.116006
-49,50,21208.343407
-50,50,21262.613069
-49,50,21316.848455
-50,50,21371.084159
-50,50,21425.23908
-50,50,21479.444177
-50,50,21533.660944
-50,50,21587.862063
-48,50,21642.083045
-50,50,21696.380985
-49,50,21750.581688
-49,50,21804.792446
-50,50,21858.973272
-49,50,21913.248335
-49,50,21967.459767
-49,50,22021.676597
-49,50,22075.876815
-3,50,22130.103004
-5,50,22181.899984
-10,50,22233.73054
-4,50,22285.57353
-3,50,22337.413788
-12,50,22389.224199
-3,50,22441.018582
-3,50,22492.818596
-3,50,22544.610243
-3,50,22596.406459
-48,50,22648.22238
-50,50,22702.433494
-49,50,22756.731033
-48,50,22810.931417
-50,50,22865.181026
-49,50,22919.385816
-49,50,22973.569893
-50,50,23027.790116
-50,50,23082.001801
-49,50,23136.185831
-48,50,23190.443111
-48,50,23244.673038
-47,50,23298.87179
-48,50,23353.121515
-50,50,23407.35065
-50,50,23461.597914
-49,50,23515.822028
-49,50,23570.020761
-50,50,23624.224475
-50,50,23678.44558
-48,50,23732.697942
-47,50,23786.949928
-49,50,23841.119681
-49,50,23895.320117
-50,50,23949.470415
-50,50,24003.682966
-50,50,24057.949448
-50,50,24112.161767
-50,50,24166.3538
-50,50,24220.579469
-47,50,24274.78011
-48,50,24328.99687
-50,50,24383.234268
-49,50,24437.422931
-48,50,24491.620758
-49,50,24545.828245
-50,50,24600.058848
-50,50,24654.302742
-50,50,24708.511945
-50,50,24762.779898
-50,50,24817.003053
-50,50,24871.284864
-50,50,24925.51204
-50,50,24979.74233
-49,50,25033.959469
-48,50,25088.238918
-50,50,25142.435961
-48,50,25196.691346
-50,50,25250.933412
-49,50,25305.194392
-3,50,25359.482624
-3,50,25411.276796
-3,50,25463.086732
-4,50,25514.878939
-4,50,25566.678309
-4,50,25618.498893
-3,50,25670.306717
-3,50,25722.124086
-3,50,25773.938218
-4,50,25825.77553
-49,50,25877.591314
-49,50,25931.872488
-48,50,25986.076124
-50,50,26040.372805
-49,50,26094.624953
-48,50,26148.858846
-50,50,26203.215886
-49,50,26257.438069
-50,50,26311.637664
-50,50,26365.834938
-50,50,26420.077886
-49,50,26474.305926
-50,50,26528.514892
-49,50,26582.830743
