# {"t_start": 1602725079.6536748, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-50,50,36.585029
-50,50,92.179033
-50,50,146.329165
-50,50,200.519292
-50,50,254.758829
-50,50,309.101709
-50,50,363.331968
-50,50,417.57575
-50,50,472.987436
-50,50,527.365788
-50,50,581.865136
-50,50,636.099322
-50,50,690.327968
-50,50,744.671922
-50,50,799.028918
-50,50,853.388582
-50,50,907.841966
-50,50,962.163747
-49,50,1016.456928
-48,50,1070.961002
-49,50,1125.674801
-50,50,1180.130702
-50,50,1234.704177
-50,50,1288.994339
-49,50,1343.494932
-50,50,1397.977251
-50,50,1452.344564
-50,50,1506.553546
-50,50,1560.723774
-50,50,1614.978218
-50,50,1669.266803
-47,50,1723.463804
-50,50,1777.670396
-50,50,1831.948253
-48,50,1886.179408
-50,50,1940.438958
-50,50,1994.706633
-50,50,2048.905766
-49,50,2103.134627
-50,50,2157.477563
-50,50,2211.912755
-49,50,2266.324693
-49,50,2320.684249
-49,50,2374.895876
-49,50,2429.133825
-45,50,2483.344715
-50,50,2537.536715
-46,50,2591.707762
-50,50,2645.98173
-49,50,2700.467956
-48,50,2755.13091
-46,50,2806.918373
-48,50,2858.709503
-48,50,2910.498091
-50,50,2962.289591
-47,50,3014.08761
-49,50,3065.885115
-45,50,3117.673639
-46,50,3169.470977
-49,50,3221.262419
-50,50,3273.100009
-48,50,3327.331526
-47,50,3381.515442
-47,50,3435.748005
-50,50,3489.953678
-47,50,3544.164694
-48,50,3598.408773
-48,50,3652.590285
-50,50,3706.824899
-45,50,3760.996331
-48,50,3815.197602
-47,50,3869.412807
-48,50,3923.6323
-48,50,3977.876093
-49,50,4032.066425
-50,50,4086.236191
-49,50,4140.423048
-49,50,4194.655485
-49,50,4248.860599
-46,50,4303.036104
-50,50,4357.253861
-49,50,4411.423733
-48,50,4465.649845
-48,50,4519.799825
-49,50,4574.011918
-49,50,4628.2033
-46,50,4682.415931
-49,50,4736.601022
-50,50,4790.80371
-49,50,4844.967667
-50,50,4899.173488
-48,50,4953.352113
-49,50,5007.570337
-49,50,5061.798714
-49,50,5115.970679
-49,50,5170.20649
-47,50,5224.411947
-47,50,5278.603838
-48,50,5332.83481
-46,50,5387.01692
