# {"t_start": 1602725079.7976522, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-50,50,28.704924
-50,50,92.018732
-50,50,146.183227
-50,50,200.374955
-50,50,254.620969
-50,50,308.955535
-50,50,363.195194
-50,50,417.438334
-50,50,472.841492
-50,50,527.221225
-50,50,581.725369
-50,50,635.964582
-50,50,690.186729
-50,50,744.534853
-50,50,798.890435
-50,50,853.239866
-50,50,907.704026
-50,50,962.009572
-50,50,1016.319506
-48,50,1070.815397
-47,50,1125.532354
-50,50,1179.985562
-50,50,1234.552761
-50,50,1288.850637
-50,50,1343.354273
-46,50,1397.838231
-50,50,1452.198251
-50,50,1506.413625
-50,50,1560.578626
-50,50,1614.82874
-48,50,1669.11874
-48,50,1723.322078
-50,50,1777.523949
-50,50,1831.80648
-50,50,1886.039063
-50,50,1940.29629
-48,50,1994.572098
-50,50,2048.758949
-48,50,2102.985322
-50,50,2157.328887
-49,50,2211.763004
-49,50,2266.181111
-49,50,2320.546411
-48,50,2374.739247
-49,50,2428.990299
-50,50,2483.196165
-50,50,2537.399361
-48,50,2591.556758
-50,50,2645.835472
-50,50,2700.324775
-49,50,2755.000839
-49,50,2806.803644
-50,50,2858.597164
-47,50,2910.379795
-50,50,2962.178619
-49,50,3013.971468
-49,50,3065.768087
-50,50,3117.575345
-48,50,3169.36945
-50,50,3221.164643
-47,50,3272.993946
-44,50,3327.199496
-47,50,3381.367651
-48,50,3435.609823
-49,50,3489.806715
-48,50,3544.021237
-46,50,3598.263571
-47,50,3652.452756
-49,50,3706.678318
-47,50,3760.853199
-47,50,3815.05645
-50,50,3869.278371
-50,50,3923.489453
-46,50,3977.7354
-48,50,4031.923184
-50,50,4086.095655
-49,50,4140.280167
-47,50,4194.510432
-50,50,4248.720228
-47,50,4302.897517
-47,50,4357.102125
-46,50,4411.281135
-50,50,4465.477154
-46,50,4519.656448
-47,50,4573.868979
-50,50,4628.059426
-48,50,4682.271438
-50,50,4736.45756
-47,50,4790.65738
-49,50,4844.820306
-45,50,4899.028767
-50,50,4953.208848
-48,50,5007.425178
-50,50,5061.646284
-48,50,5115.827229
-48,50,5170.066724
-46,50,5224.27528
-48,50,5278.466046
-49,50,5332.691053
-49,50,5386.875386
-47,50,5441.075064
-49,50,5495.306187
-49,50,5549.476194
-46,50,5603.646447
-47,50,5657.822321
-48,50,5712.021871
-48,50,5766.20713
-48,50,5820.435034
-48,50,5874.627495
-47,50,5928.830469
-41,50,5983.078136
-38,50,6034.864072
-38,50,6086.650739
-44,50,6138.43005
-41,50,6190.228991
-41,50,6242.016521
-38,50,6293.800691
-39,50,6345.584733
-42,50,6397.378943
-49,50,6449.164777
-49,50,6500.949432
-49,50,6555.843699
-48,50,6610.465732
-50,50,6664.621792
-48,50,6718.817831
-49,50,6773.666948
-47,50,6828.070378
-48,50,6882.436919
-49,50,6936.632035
-49,50,6990.804069
-50,50,7045.030606
-48,50,7099.427659
-49,50,7153.705216
-50,50,7208.628779
-48,50,7262.800646
-48,50,7316.969935
-50,50,7371.202694
-50,50,7425.587033
-49,50,7479.776172
-47,50,7533.95047
-48,50,7588.178979
-49,50,7642.395041
-47,50,7697.141473
-49,50,7751.370399
-50,50,7806.02564
-49,50,7860.33513
-49,50,7914.986769
-50,50,7969.321578
-48,50,8023.596873
-49,50,8077.919491
-48,50,8132.158619
-50,50,8186.505747
-50,50,8240.655637
-50,50,8294.836912
-49,50,8348.996016
-48,50,8403.205564
-50,50,8457.393373
-48,50,8511.556005
-48,50,8565.739855
-49,50,8619.967204
-50,50,8674.123455
-48,50,8728.325469
-50,50,8782.54073
-47,50,8836.687355
-49,50,8890.914996
-50,50,8945.100688
-49,50,8999.250496
-49,50,9053.414292
-50,50,9107.594527
-49,50,9161.79379
-5,50,9215.939537
-42,50,9267.73242
-40,50,9319.522586
-12,50,9371.310924
-30,50,9423.100326
-25,50,9474.896558
-4,50,9526.689771
-4,50,9578.484889
-25,50,9630.281507
-35,50,9682.087527
-50,50,9733.903564
-49,50,9788.188711
-50,50,9842.379001
-49,50,9896.529972
-49,50,9950.713556
-50,50,10004.992136
-48,50,10059.164919
-48,50,10113.321998
-50,50,10167.513059
-46,50,10221.707557
-50,50,10275.883809
-50,50,10330.059344
-47,50,10384.257804
-49,50,10438.445344
-48,50,10492.586375
-50,50,10546.793638
-49,50,10600.967197
-50,50,10655.178398
-47,50,10709.40402
-49,50,10763.602263
-48,50,10817.811308
-48,50,10871.980652
-49,50,10926.235321
-49,50,10980.43118
-46,50,11034.640444
-49,50,11088.816874
-50,50,11142.999104
-49,50,11197.141784
-48,50,11251.325922
-50,50,11305.500007
-48,50,11359.666629
-50,50,11413.845229
-49,50,11468.033644
-48,50,11522.223403
-49,50,11576.417309
-50,50,11630.616252
-49,50,11684.826926
-50,50,11739.032806
-48,50,11793.23552
-47,50,11847.439882
-48,50,11901.586678
-48,50,11955.770441
-50,50,12009.963687
-50,50,12064.183954
-50,50,12118.378592
-49,50,12172.571589
-49,50,12226.769493
-49,50,12280.936701
-50,50,12335.115913
-49,50,12389.304996
-39,50,12443.495312
-10,50,12495.291003
-28,50,12547.088339
-4,50,12598.898463
-7,50,12650.694637
-4,50,12702.514526
-27,50,12754.322254
-21,50,12806.122074
-30,50,12857.928069
-27,50,12909.729367
-49,50,12961.53407
-49,50,13015.790054
-48,50,13069.971839
-49,50,13124.216673
-49,50,13178.405317
-50,50,13232.564115
-50,50,13286.744221
-48,50,13340.920466
-50,50,13395.118746
-49,50,13449.278536
-49,50,13503.464477
-49,50,13557.68382
-50,50,13611.931875
-48,50,13666.193255
-50,50,13720.380492
-49,50,13774.574422
-49,50,13828.767616
-49,50,13882.962222
-49,50,13937.154091
-48,50,13991.374752
-49,50,14045.567029
-49,50,14099.7902
-50,50,14153.972007
-50,50,14208.185694
-48,50,14262.392109
-49,50,14316.571075
-50,50,14370.774405
-50,50,14424.930109
-49,50,14479.129194
-50,50,14533.312988
-47,50,14587.498479
-48,50,14641.659428
-50,50,14695.848542
-49,50,14750.026758
-49,50,14804.222925
-49,50,14858.391593
-48,50,14912.619399
-50,50,14966.820321
-47,50,15020.991099
-48,50,15075.179219
-48,50,15129.429333
-50,50,15183.609197
-50,50,15237.796487
-50,50,15292.019237
-50,50,15346.247131
-49,50,15400.418103
-50,50,15454.586253
-49,50,15508.759373
-49,50,15562.970816
-49,50,15617.143163
-35,50,15671.34391
-32,50,15723.149262
-36,50,15774.953458
-23,50,15826.737705
-9,50,15878.537454
-20,50,15930.342558
-24,50,15982.16748
-31,50,16033.973897
-25,50,16085.775573
-21,50,16137.580167
-49,50,16189.370417
-50,50,16243.57406
-50,50,16297.725029
-50,50,16351.966725
-50,50,16406.145146
-48,50,16460.339587
-47,50,16514.601511
-48,50,16568.754622
-49,50,16623.017451
-49,50,16677.253812
-50,50,16731.416078
-48,50,16785.636603
-48,50,16839.828813
-48,50,16894.02421
-50,50,16948.21625
-50,50,17002.39103
-49,50,17056.587337
-50,50,17110.808236
-49,50,17165.028858
-50,50,17219.217469
-50,50,17273.444308
-50,50,17327.636817
-50,50,17381.835535
-48,50,17436.058311
-50,50,17490.238246
-50,50,17544.452465
-49,50,17598.645566
-47,50,17652.838053
-49,50,17707.008398
-50,50,17761.18513
-49,50,17815.380992
-47,50,17869.585064
-49,50,17923.784949
-49,50,17977.989866
-50,50,18032.166825
-50,50,18086.382539
-48,50,18140.600997
-48,50,18194.793892
-49,50,18248.991699
-50,50,18303.19285
-50,50,18357.377081
-48,50,18411.6045
-50,50,18465.802283
-48,50,18520.001154
-50,50,18574.177483
-50,50,18628.355975
-50,50,18682.546547
-50,50,18736.776413
-50,50,18791.001536
-50,50,18845.173886
-4,50,18899.345284
-10,50,18951.132654
-23,50,19002.928286
-5,50,19054.721416
-3,50,19106.505754
-4,50,19158.302369
-4,50,19210.096567
-2,50,19261.89141
-10,50,19313.692742
-5,50,19365.502493
-50,50,19417.343085
-48,50,19471.649038
-50,50,19525.862534
-48,50,19580.087936
-50,50,19634.343149
-50,50,19688.518597
-49,50,19742.771663
-49,50,19796.948446
-50,50,19851.174247
-49,50,19905.35425
-50,50,19959.522417
-49,50,20013.771579
-50,50,20068.002631
-50,50,20122.238909
-50,50,20176.415194
-49,50,20230.628821
-47,50,20284.814911
-49,50,20339.042721
-48,50,20393.314173
-49,50,20447.589305
-50,50,20501.812249
-48,50,20556.047378
-48,50,20610.289237
-49,50,20664.588796
-47,50,20718.859406
-50,50,20773.157182
-50,50,20827.341583
-47,50,20881.600109
-49,50,20935.80441
-48,50,20990.047921
-47,50,21044.288712
-49,50,21098.557871
-48,50,21152.811203
-50,50,21207.031328
-48,50,21261.30168
-50,50,21315.539566
-50,50,21369.776013
-48,50,21423.932693
-49,50,21478.129852
-48,50,21532.351857
-48,50,21586.557391
-48,50,21640.775091
-48,50,21695.084211
-49,50,21749.284054
-50,50,21803.49251
-49,50,21857.665868
-50,50,21911.908199
-48,50,21966.145196
-49,50,22020.369493
-49,50,22074.562237
-3,50,22128.795403
-3,50,22180.589962
-26,50,22232.393432
-4,50,22284.193398
-3,50,22335.997791
-3,50,22387.790167
-4,50,22439.582143
-29,50,22491.388783
-31,50,22543.18149
-23,50,22594.968031
-48,50,22646.815214
-49,50,22701.124976
-49,50,22755.421502
-50,50,22809.624068
-49,50,22863.863879
-50,50,22918.077137
-48,50,22972.28515
-46,50,23026.48203
-50,50,23080.691801
-48,50,23134.876481
-50,50,23189.134834
-50,50,23243.36121
-49,50,23297.557013
-50,50,23351.807797
-50,50,23406.045045
-50,50,23460.278548
-48,50,23514.511757
-48,50,23568.71207
-50,50,23622.918661
-50,50,23677.140935
-49,50,23731.385652
-50,50,23785.639897
-50,50,23839.811637
-49,50,23894.00692
-50,50,23948.159413
-49,50,24002.378344
-50,50,24056.643267
-49,50,24110.838971
-48,50,24165.040659
-50,50,24219.270241
-50,50,24273.472396
-50,50,24327.690008
-49,50,24381.926268
-50,50,24436.109516
-50,50,24490.312487
-49,50,24544.502255
-48,50,24598.750066
-50,50,24652.990056
-47,50,24707.203744
-47,50,24761.466834
-49,50,24815.697145
-49,50,24869.989592
-48,50,24924.204753
-47,50,24978.428174
-49,50,25032.662309
-50,50,25086.931071
-50,50,25141.127582
-48,50,25195.378474
-49,50,25249.625133
-50,50,25303.884428
-3,50,25358.168471
-3,50,25409.96847
-22,50,25461.765251
-4,50,25513.570681
-3,50,25565.371052
-3,50,25617.172505
-4,50,25668.966901
-1,50,25720.77072
-3,50,25772.59351
-2,50,25824.406072
-50,50,25876.238777
-50,50,25930.570469
-49,50,25984.769891
-50,50,26039.064813
-50,50,26093.315967
-50,50,26147.56844
-50,50,26201.906897
-50,50,26256.12885
-50,50,26310.326548
-50,50,26364.527643
-49,50,26418.770092
-47,50,26473.001698
-50,50,26527.213476
-50,50,26581.519882
-50,50,26635.70049
-49,50,26689.964798
-50,50,26744.203374
-49,50,26798.553919
-50,50,26852.802027
-50,50,26906.985549
-47,50,26961.241794
-49,50,27015.521057
-48,50,27069.748042
-49,50,27124.035412
-50,50,27178.238715
-49,50,27232.476913
-49,50,27286.761053
-48,50,27340.950095
-49,50,27395.162378
-48,50,27449.363195
-50,50,27503.618103
-49,50,27557.846544
-50,50,27612.079787
-49,50,27666.301641
-50,50,27720.507954
-49,50,27774.734882
-49,50,27828.960921
-50,50,27883.156727
-49,50,27937.366901
-50,50,27991.534347
-49,50,28045.760457
-49,50,28100.017941
-50,50,28154.318892
-50,50,28208.560442
-49,50,28262.797701
-48,50,28317.01858
-50,50,28371.263988
-49,50,28425.502899
-50,50,28479.795835
-49,50,28534.011399
-2,50,28588.239075
-2,50,28640.040436
-3,50,28691.844003
-3,50,28743.646602
-2,50,28795.441131
-3,50,28847.240488
-3,50,28899.038592
-2,50,28950.838202
-3,50,29002.634274
-4,50,29054.428239
-48,50,29106.288479
-50,50,29160.606397
-48,50,29214.804342
-50,50,29269.025939
-50,50,29323.259529
-49,50,29377.507107
-48,50,29431.711406
-49,50,29485.930586
-50,50,29540.174329
-50,50,29594.395176
-50,50,29648.638161
-50,50,29702.865028
-49,50,29757.038689
-49,50,29811.28599
-50,50,29865.447597
-50,50,29919.722464
-49,50,29973.955939
-47,50,30028.166172
-50,50,30082.384821
-49,50,30136.632512
-50,50,30190.825611
-47,50,30245.078794
-49,50,30299.349856
-50,50,30353.594845
-50,50,30407.877529
-49,50,30462.071803
-49,50,30516.29541
-50,50,30570.514022
-47,50,30624.747515
-50,50,30678.96057
-48,50,30733.20861
-50,50,30787.45506
-50,50,30841.707512
-49,50,30895.95044
-50,50,30950.168019
-49,50,31004.379922
-49,50,31058.65116
-49,50,31112.890804
