# {"t_start": 1602725079.7821033, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-50,50,30.477236
-50,50,91.985983
-50,50,146.203298
-50,50,200.390192
-50,50,254.641123
-50,50,308.969662
-50,50,363.205815
-50,50,417.459852
-50,50,472.858248
-50,50,527.23834
-50,50,581.733505
-50,50,635.979113
-50,50,690.194851
-50,50,744.550472
-50,50,798.903502
-50,50,853.25347
-50,50,907.716008
-50,50,962.033071
-50,50,1016.33002
-50,50,1070.827207
-50,50,1125.559592
-50,50,1180.001253
-49,50,1234.568846
-50,50,1288.866184
-50,50,1343.364359
-50,50,1397.841505
-50,50,1452.207764
-49,50,1506.432446
-49,50,1560.597443
-48,50,1614.843233
-49,50,1669.142729
-49,50,1723.336983
-50,50,1777.539667
-50,50,1831.818319
-50,50,1886.047009
-50,50,1940.314823
-49,50,1994.580237
-50,50,2048.773122
-48,50,2103.002093
-50,50,2157.354033
-50,50,2211.780157
-50,50,2266.190776
-49,50,2320.562176
-50,50,2374.758255
-48,50,2429.000749
-48,50,2483.221322
-49,50,2537.396706
-50,50,2591.574993
-49,50,2645.845723
-49,50,2700.334253
-48,50,2754.999549
-49,50,2806.797456
-50,50,2858.597998
-49,50,2910.394528
-50,50,2962.18763
-49,50,3013.976823
-46,50,3065.758007
-49,50,3117.544113
-48,50,3169.326314
-50,50,3221.116238
-49,50,3272.968131
-49,50,3327.202362
-49,50,3381.383058
-50,50,3435.619535
-48,50,3489.822073
-50,50,3544.034136
-49,50,3598.274403
-48,50,3652.46362
-46,50,3706.689393
-47,50,3760.870985
-50,50,3815.071119
-48,50,3869.288055
-48,50,3923.508019
-48,50,3977.756481
-50,50,4031.938006
-50,50,4086.109549
-49,50,4140.296955
-49,50,4194.52623
-49,50,4248.734665
-49,50,4302.909217
-47,50,4357.118593
-46,50,4411.307345
-48,50,4465.493885
-45,50,4519.672166
-47,50,4573.898463
-50,50,4628.068004
-49,50,4682.283376
-46,50,4736.473253
-45,50,4790.677089
-49,50,4844.840776
-50,50,4899.041756
-45,50,4953.22532
-49,50,5007.440186
-49,50,5061.66997
-49,50,5115.848455
-49,50,5170.083046
-49,50,5224.294958
-47,50,5278.474533
-50,50,5332.709321
-50,50,5386.889925
-48,50,5441.085942
-50,50,5495.329386
-49,50,5549.4932
-50,50,5603.666594
-50,50,5657.840903
-48,50,5712.035969
-50,50,5766.225279
-50,50,5820.453649
-49,50,5874.640212
-48,50,5928.841652
-37,50,5983.0794
-40,50,6034.858573
-45,50,6086.639089
-40,50,6138.423697
-49,50,6190.223765
-43,50,6242.000149
-42,50,6293.783965
-37,50,6345.579449
-47,50,6397.361632
-45,50,6449.150839
-47,50,6500.948936
-49,50,6555.851417
-50,50,6610.477804
-49,50,6664.640953
-47,50,6718.828182
-48,50,6773.6884
-48,50,6828.073836
-49,50,6882.454101
-50,50,6936.653386
-48,50,6990.830601
-48,50,7045.046961
-50,50,7099.439503
-47,50,7153.716353
-48,50,7208.646696
-48,50,7262.813967
-49,50,7316.983685
-44,50,7371.216213
-48,50,7425.602501
-50,50,7479.790343
-48,50,7533.964118
-50,50,7588.195297
-50,50,7642.424856
-48,50,7697.162156
-49,50,7751.392162
-48,50,7806.044049
-50,50,7860.348544
-48,50,7914.991541
-49,50,7969.336014
-50,50,8023.611353
-48,50,8077.939355
-49,50,8132.169638
-44,50,8186.511257
-49,50,8240.66732
-48,50,8294.862652
-49,50,8349.015516
-46,50,8403.219964
-48,50,8457.408805
-48,50,8511.570773
-49,50,8565.761559
-50,50,8619.991102
-49,50,8674.142071
-48,50,8728.339904
-49,50,8782.554967
-49,50,8836.702904
-49,50,8890.934585
-42,50,8945.115416
-48,50,8999.266918
-49,50,9053.429134
-49,50,9107.608673
-49,50,9161.808472
-21,50,9215.958161
-43,50,9267.743322
-29,50,9319.535736
-4,50,9371.331304
-12,50,9423.126228
-26,50,9474.918611
-31,50,9526.71082
-28,50,9578.502159
-24,50,9630.294705
-21,50,9682.086143
-48,50,9733.921224
-50,50,9788.200761
-47,50,9842.399605
-49,50,9896.549433
-50,50,9950.720181
-50,50,10004.998905
-50,50,10059.179934
-50,50,10113.337435
-50,50,10167.530738
-48,50,10221.722042
-46,50,10275.896763
-49,50,10330.07599
-49,50,10384.281775
-50,50,10438.46334
-49,50,10492.603183
-50,50,10546.813455
-50,50,10600.98531
-49,50,10655.196738
-48,50,10709.42345
-50,50,10763.620356
-50,50,10817.824592
-50,50,10872.00631
-49,50,10926.245463
-50,50,10980.44673
-49,50,11034.658241
-49,50,11088.83181
-48,50,11143.01395
-50,50,11197.156573
-50,50,11251.338549
-47,50,11305.515742
-50,50,11359.679437
-50,50,11413.862612
-50,50,11468.049988
-49,50,11522.239006
-49,50,11576.435407
-49,50,11630.631891
-50,50,11684.850692
-49,50,11739.047497
-49,50,11793.253788
-50,50,11847.461288
-49,50,11901.59619
-50,50,11955.785993
-47,50,12009.98135
-48,50,12064.197757
-49,50,12118.390706
-50,50,12172.587692
-48,50,12226.779871
-48,50,12280.951225
-50,50,12335.125886
-50,50,12389.321634
-30,50,12443.509365
-3,50,12495.307867
-39,50,12547.106032
-3,50,12598.898686
-40,50,12650.702394
-13,50,12702.49206
-7,50,12754.301541
-25,50,12806.104123
-39,50,12857.90609
-41,50,12909.703
-49,50,12961.50996
-50,50,13015.799708
-50,50,13069.987701
-49,50,13124.22113
-49,50,13178.423677
-49,50,13232.586273
-50,50,13286.761642
-49,50,13340.921308
-50,50,13395.134525
-50,50,13449.295554
-50,50,13503.478744
-49,50,13557.706197
-50,50,13611.951977
-50,50,13666.206896
-49,50,13720.399067
-48,50,13774.581543
-48,50,13828.779046
-49,50,13882.977262
-50,50,13937.170444
-47,50,13991.386772
-50,50,14045.585449
-50,50,14099.805269
-50,50,14153.986846
-50,50,14208.196187
-49,50,14262.401781
-50,50,14316.588856
-46,50,14370.787519
-50,50,14424.945299
-49,50,14479.146299
-50,50,14533.330101
-48,50,14587.511218
-50,50,14641.671744
-50,50,14695.850063
-48,50,14750.066173
-49,50,14804.236559
-50,50,14858.417005
-50,50,14912.633302
-45,50,14966.839474
-49,50,15021.00645
