# {"t_start": 1602725079.8038008, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-50,50,26.364917
-50,50,92.021861
-50,50,146.190003
-50,50,200.370815
-50,50,254.625873
-50,50,308.958311
-50,50,363.184594
-50,50,417.430699
-50,50,472.840183
-50,50,527.22794
-50,50,581.711282
-50,50,635.954103
-50,50,690.173153
-50,50,744.533237
-50,50,798.880327
-50,50,853.226221
-50,50,907.680868
-50,50,962.009926
-50,50,1016.313822
-49,50,1070.810455
-50,50,1125.538935
-50,50,1179.977569
-50,50,1234.558585
-50,50,1288.842915
-50,50,1343.342706
-50,50,1397.833818
-50,50,1452.19264
-50,50,1506.405533
-50,50,1560.571398
-50,50,1614.822615
-50,50,1669.115571
-49,50,1723.314829
-50,50,1777.517322
-50,50,1831.79667
-48,50,1886.030503
-50,50,1940.289082
-49,50,1994.556763
-50,50,2048.749874
-50,50,2102.984146
-50,50,2157.322387
-48,50,2211.762634
-50,50,2266.174592
-48,50,2320.537557
-49,50,2374.732907
-49,50,2428.984178
-49,50,2483.190865
-47,50,2537.380704
-50,50,2591.551512
-47,50,2645.840183
-47,50,2700.317191
-43,50,2754.976972
-46,50,2806.765939
-46,50,2858.564855
-49,50,2910.349375
-47,50,2962.146969
-49,50,3013.940155
-49,50,3065.734687
-49,50,3117.527152
-49,50,3169.309742
-49,50,3221.099653
-47,50,3272.948182
-48,50,3327.181399
-49,50,3381.361199
-49,50,3435.60251
-50,50,3489.802379
-48,50,3544.016704
-50,50,3598.255776
-48,50,3652.434192
-48,50,3706.672482
-49,50,3760.848586
-48,50,3815.051534
-49,50,3869.264009
-48,50,3923.485567
-48,50,3977.735
-50,50,4031.92147
-47,50,4086.084494
-46,50,4140.276863
-49,50,4194.503789
-50,50,4248.713334
-48,50,4302.885039
-49,50,4357.097731
-48,50,4411.276622
-49,50,4465.496118
-49,50,4519.650817
-50,50,4573.863556
-48,50,4628.05016
-47,50,4682.263443
-49,50,4736.452647
-49,50,4790.666494
-46,50,4844.817355
-49,50,4899.020162
-46,50,4953.201761
-48,50,5007.420756
-49,50,5061.646487
-47,50,5115.821134
-49,50,5170.058909
-49,50,5224.262963
-47,50,5278.470557
-47,50,5332.684416
-49,50,5386.873398
-46,50,5441.073541
-50,50,5495.300166
-48,50,5549.472596
-47,50,5603.643214
-50,50,5657.816634
-49,50,5712.017629
-49,50,5766.204855
-49,50,5820.43005
-47,50,5874.630732
-45,50,5928.825631
-42,50,5983.0498
-47,50,6034.839744
-46,50,6086.627494
-44,50,6138.420143
-46,50,6190.221963
-46,50,6242.010773
-42,50,6293.805518
-47,50,6345.605804
-36,50,6397.39443
-49,50,6449.180803
-49,50,6500.969633
-48,50,6555.83575
-48,50,6610.455701
-48,50,6664.607929
-49,50,6718.811218
-47,50,6773.668882
-48,50,6828.053444
-49,50,6882.441621
-48,50,6936.631081
-48,50,6990.806191
-47,50,7045.026131
-47,50,7099.421559
-49,50,7153.69615
-49,50,7208.632655
-46,50,7262.792185
-50,50,7316.966519
-49,50,7371.192173
-48,50,7425.600945
-49,50,7479.770297
-48,50,7533.939636
-49,50,7588.175127
-47,50,7642.393524
-50,50,7697.139159
-50,50,7751.380893
-49,50,7806.034304
-47,50,7860.340505
-50,50,7914.97037
-47,50,7969.311907
-50,50,8023.596555
-49,50,8077.916108
-49,50,8132.15247
-49,50,8186.501422
-48,50,8240.650381
-50,50,8294.823252
-49,50,8348.989194
-49,50,8403.201533
-47,50,8457.383146
-46,50,8511.543801
-48,50,8565.736303
-48,50,8619.959805
-49,50,8674.119343
-48,50,8728.316299
-49,50,8782.534085
-49,50,8836.708949
-49,50,8890.910574
-49,50,8945.084267
-50,50,8999.264261
-50,50,9053.408535
-49,50,9107.587456
-49,50,9161.788279
-36,50,9215.942364
-3,50,9267.727246
-15,50,9319.515221
-38,50,9371.3101
-29,50,9423.093803
-4,50,9474.888831
-38,50,9526.691622
-38,50,9578.481418
-34,50,9630.274315
-34,50,9682.067677
-49,50,9733.897389
-49,50,9788.187251
-49,50,9842.374553
-48,50,9896.523977
-49,50,9950.707407
-48,50,10004.960911
-50,50,10059.160319
-49,50,10113.317511
-50,50,10167.509766
-50,50,10221.700892
-50,50,10275.87136
-50,50,10330.054613
-49,50,10384.253753
-50,50,10438.445908
-50,50,10492.579984
-50,50,10546.795355
-49,50,10600.962498
-50,50,10655.174588
-48,50,10709.393008
-49,50,10763.599573
-50,50,10817.806239
-49,50,10871.976192
-49,50,10926.224583
-49,50,10980.426779
-50,50,11034.63376
-48,50,11088.809255
-48,50,11142.989845
-50,50,11197.136277
-49,50,11251.317575
-50,50,11305.493584
-50,50,11359.657739
-50,50,11413.841269
-47,50,11468.026946
-49,50,11522.219637
-49,50,11576.411144
-50,50,11630.617182
-49,50,11684.821254
-49,50,11739.02636
-49,50,11793.232242
-47,50,11847.431153
-48,50,11901.574326
-48,50,11955.768166
-49,50,12009.9578
-48,50,12064.184819
-50,50,12118.371221
-50,50,12172.564058
-48,50,12226.76173
-49,50,12280.928157
-48,50,12335.103969
-48,50,12389.300799
-9,50,12443.499078
-6,50,12495.29777
-18,50,12547.106856
-23,50,12598.90923
-10,50,12650.705015
-24,50,12702.490774
-22,50,12754.285331
-37,50,12806.08305
-11,50,12857.888186
-28,50,12909.680104
-50,50,12961.481724
-50,50,13015.782156
-50,50,13069.970713
-49,50,13124.212295
-49,50,13178.401078
-48,50,13232.563882
-48,50,13286.738073
-49,50,13340.899103
-50,50,13395.113425
-49,50,13449.274516
-50,50,13503.466733
-48,50,13557.68126
-48,50,13611.926358
-50,50,13666.182543
-49,50,13720.373646
-49,50,13774.565048
-46,50,13828.761372
-50,50,13882.970226
-49,50,13937.146198
-48,50,13991.366223
-48,50,14045.564888
-50,50,14099.778066
-48,50,14153.966067
-49,50,14208.1735
-49,50,14262.388425
-50,50,14316.565196
-50,50,14370.770029
-48,50,14424.920233
-49,50,14479.127384
-50,50,14533.310846
-49,50,14587.506813
-50,50,14641.655909
-50,50,14695.829412
-44,50,14750.030573
-49,50,14804.215609
-50,50,14858.38383
-49,50,14912.610016
-50,50,14966.817756
-50,50,15020.993364
-48,50,15075.175788
-50,50,15129.417018
-49,50,15183.601212
-49,50,15237.78813
-47,50,15292.008891
-50,50,15346.241148
-48,50,15400.420475
-50,50,15454.583548
-48,50,15508.753047
-50,50,15562.965067
-50,50,15617.138267
-17,50,15671.340298
-18,50,15723.128049
-26,50,15774.921971
-30,50,15826.713454
-37,50,15878.513585
-25,50,15930.306603
-20,50,15982.099083
-27,50,16033.891936
-30,50,16085.689305
-27,50,16137.494738
-49,50,16189.300147
-48,50,16243.565571
-48,50,16297.72464
-49,50,16351.961564
-50,50,16406.147917
-46,50,16460.331817
-50,50,16514.592972
-49,50,16568.75754
-50,50,16623.012664
-49,50,16677.242351
