# {"t_start": 1602725079.7174854, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-50,50,32.485929
-50,50,92.116828
-50,50,146.266708
-50,50,200.475849
-50,50,254.699099
-50,50,309.034279
-50,50,363.26945
-50,50,417.523506
-50,50,472.929954
-50,50,527.309007
-50,50,581.795466
-50,50,636.046464
-50,50,690.26139
-50,50,744.617499
-50,50,798.970033
-50,50,853.315312
-50,50,907.775742
-50,50,962.095268
-50,50,1016.398879
-50,50,1070.897028
-49,50,1125.617174
-50,50,1180.06327
-50,50,1234.640775
-50,50,1288.931929
-50,50,1343.438777
-50,50,1397.915981
-50,50,1452.274103
-50,50,1506.495796
-50,50,1560.659807
-50,50,1614.916113
-50,50,1669.199123
-50,50,1723.405627
-49,50,1777.607938
-50,50,1831.887935
-50,50,1886.115263
-50,50,1940.372361
-49,50,1994.641681
-50,50,2048.833839
-49,50,2103.063312
-50,50,2157.41049
-48,50,2211.855379
-50,50,2266.265139
-49,50,2320.617165
-48,50,2374.827448
-48,50,2429.069649
-50,50,2483.278827
-49,50,2537.476282
-46,50,2591.636725
-47,50,2645.908314
-50,50,2700.403885
-44,50,2755.056444
-46,50,2806.851636
-50,50,2858.645948
-49,50,2910.437795
-48,50,2962.233683
-49,50,3014.026487
-50,50,3065.811636
-49,50,3117.60857
-49,50,3169.39255
-48,50,3221.18721
-49,50,3273.027496
-50,50,3327.269594
-49,50,3381.447443
-49,50,3435.689018
-49,50,3489.886647
-46,50,3544.101259
-48,50,3598.337191
-48,50,3652.520507
-50,50,3706.766345
-50,50,3760.933522
-49,50,3815.136471
-50,50,3869.352535
-48,50,3923.56941
-50,50,3977.809386
-46,50,4032.011331
-47,50,4086.173479
-48,50,4140.363619
-47,50,4194.590239
-48,50,4248.800626
-49,50,4302.97692
-47,50,4357.1809
-50,50,4411.36095
-49,50,4465.5632
-48,50,4519.73515
-48,50,4573.951659
-50,50,4628.134582
-50,50,4682.349415
-46,50,4736.539221
-49,50,4790.741143
-49,50,4844.903806
-48,50,4899.112427
-48,50,4953.283621
-49,50,5007.505129
-49,50,5061.728048
-49,50,5115.910691
-47,50,5170.141093
-49,50,5224.351704
-48,50,5278.539073
-49,50,5332.77636
-50,50,5386.95789
-50,50,5441.160925
-48,50,5495.383847
-48,50,5549.558764
-47,50,5603.728179
-46,50,5657.901636
-48,50,5712.098692
-47,50,5766.290556
-49,50,5820.520153
-49,50,5874.707116
-50,50,5928.911568
-45,50,5983.142956
-43,50,6034.933567
-38,50,6086.71223
-47,50,6138.501992
-44,50,6190.287474
-42,50,6242.071388
-40,50,6293.860826
-35,50,6345.65054
-45,50,6397.447963
-44,50,6449.234339
-47,50,6501.022238
-49,50,6555.921246
-50,50,6610.549932
-49,50,6664.699529
-47,50,6718.896627
-50,50,6773.744261
-46,50,6828.135548
-50,50,6882.521751
-46,50,6936.7181
-49,50,6990.888444
-50,50,7045.109344
-45,50,7099.505756
-49,50,7153.768592
-48,50,7208.711599
-47,50,7262.878631
-49,50,7317.052153
-50,50,7371.281667
-50,50,7425.678077
-50,50,7479.855162
-48,50,7534.028173
-47,50,7588.261703
-50,50,7642.477493
-50,50,7697.229483
-46,50,7751.459227
-48,50,7806.106234
-48,50,7860.423698
-46,50,7915.053201
-45,50,7969.397706
-49,50,8023.675264
-46,50,8077.999573
-49,50,8132.236935
-50,50,8186.587818
-46,50,8240.735962
-50,50,8294.912822
-50,50,8349.070535
-49,50,8403.27894
-48,50,8457.48045
-49,50,8511.633867
-46,50,8565.844122
-48,50,8620.04737
-48,50,8674.203311
-50,50,8728.404516
-49,50,8782.621908
-48,50,8836.767768
-48,50,8890.99974
-48,50,8945.179615
-50,50,8999.334573
-50,50,9053.503198
-50,50,9107.673151
-46,50,9161.874573
-33,50,9216.024607
-16,50,9267.814463
-27,50,9319.602405
-30,50,9371.391823
-38,50,9423.185961
-7,50,9474.982557
-31,50,9526.771681
-30,50,9578.565566
-3,50,9630.359667
-4,50,9682.150523
-50,50,9733.985916
-50,50,9788.268753
-49,50,9842.463982
-49,50,9896.6116
-50,50,9950.806591
-50,50,10005.061992
-50,50,10059.245701
-50,50,10113.403334
-47,50,10167.598819
-48,50,10221.784343
-48,50,10275.960317
-49,50,10330.136685
-46,50,10384.339826
-49,50,10438.527585
-48,50,10492.665275
-46,50,10546.876498
-49,50,10601.057316
-49,50,10655.256696
-49,50,10709.489813
-50,50,10763.705637
-49,50,10817.892714
-46,50,10872.060537
-49,50,10926.308605
-48,50,10980.512094
-48,50,11034.718474
-50,50,11088.895486
-49,50,11143.083111
-50,50,11197.222695
-49,50,11251.40389
-49,50,11305.57952
-49,50,11359.742394
-50,50,11413.929887
-49,50,11468.113301
-50,50,11522.311039
-49,50,11576.496279
-50,50,11630.696432
-49,50,11684.907093
-48,50,11739.111502
-49,50,11793.316583
-50,50,11847.511999
-48,50,11901.663003
-48,50,11955.853711
-48,50,12010.045447
-48,50,12064.257145
-48,50,12118.46258
-49,50,12172.653444
-50,50,12226.850836
-50,50,12281.013968
-48,50,12335.190843
-50,50,12389.385855
-41,50,12443.584264
-10,50,12495.374953
-5,50,12547.180859
-4,50,12598.97717
-4,50,12650.76558
-3,50,12702.551887
-22,50,12754.344614
-3,50,12806.138822
-26,50,12857.950692
-2,50,12909.752654
-49,50,12961.537071
-49,50,13015.862799
-46,50,13070.055233
-48,50,13124.285254
-50,50,13178.502998
-48,50,13232.64784
-48,50,13286.826656
-49,50,13340.999828
-46,50,13395.201395
-48,50,13449.367284
-49,50,13503.546949
-47,50,13557.770214
-50,50,13612.020145
-48,50,13666.268859
-49,50,13720.470378
-49,50,13774.651729
-48,50,13828.849837
-49,50,13883.048476
-50,50,13937.232512
-50,50,13991.449579
-49,50,14045.650927
-48,50,14099.868124
-49,50,14154.058169
-49,50,14208.260015
-49,50,14262.476157
-49,50,14316.649324
-49,50,14370.844577
-49,50,14425.007411
-50,50,14479.217594
-49,50,14533.399754
-50,50,14587.578304
-50,50,14641.737135
-50,50,14695.913134
-50,50,14750.111209
-47,50,14804.301044
-50,50,14858.470238
-49,50,14912.69768
-49,50,14966.896589
-50,50,15021.07306
-49,50,15075.277971
-50,50,15129.507171
-50,50,15183.684544
-50,50,15237.876029
-50,50,15292.096453
-49,50,15346.33006
-50,50,15400.500178
-49,50,15454.666721
-48,50,15508.842191
-48,50,15563.05258
-50,50,15617.226114
-22,50,15671.424537
-39,50,15723.213799
-24,50,15775.00996
-34,50,15826.80241
-30,50,15878.597554
-28,50,15930.389827
-21,50,15982.183247
-29,50,16033.978177
-22,50,16085.775596
-32,50,16137.571781
-50,50,16189.365706
-50,50,16243.647492
-49,50,16297.80872
-48,50,16352.046224
-49,50,16406.231958
-50,50,16460.416766
-50,50,16514.671133
-49,50,16568.842521
-50,50,16623.094399
-49,50,16677.327847
-49,50,16731.500719
-50,50,16785.704309
-47,50,16839.896165
-48,50,16894.097773
-50,50,16948.301586
-48,50,17002.465025
-48,50,17056.665135
-49,50,17110.889946
-49,50,17165.11065
-50,50,17219.305959
-50,50,17273.530072
-49,50,17327.715524
-50,50,17381.908584
-50,50,17436.13447
-50,50,17490.317139
-50,50,17544.530447
-47,50,17598.721541
-49,50,17652.91771
-50,50,17707.08747
-50,50,17761.265936
-50,50,17815.463502
-48,50,17869.670504
-49,50,17923.870163
-50,50,17978.07286
-50,50,18032.233675
-48,50,18086.464343
-50,50,18140.686992
-50,50,18194.871285
-50,50,18249.065859
-49,50,18303.275692
-49,50,18357.463877
-48,50,18411.68595
-50,50,18465.880726
-50,50,18520.08189
-49,50,18574.251172
-50,50,18628.436169
-49,50,18682.630078
-49,50,18736.856434
-49,50,18791.08008
-47,50,18845.255394
-4,50,18899.425137
-3,50,18951.212821
-4,50,19003.008707
-5,50,19054.799823
-17,50,19106.595728
-16,50,19158.384054
-8,50,19210.18105
-3,50,19261.975609
-5,50,19313.783808
-4,50,19365.587606
-49,50,19417.424268
-49,50,19471.728621
-50,50,19525.940952
-49,50,19580.164277
-49,50,19634.428164
-48,50,19688.60306
-50,50,19742.851841
-50,50,19797.028914
-50,50,19851.255451
-49,50,19905.433149
-50,50,19959.601011
-50,50,20013.851891
-49,50,20068.085081
-50,50,20122.318782
-49,50,20176.49511
-48,50,20230.709616
-49,50,20284.898731
-49,50,20339.124351
-47,50,20393.393732
-50,50,20447.669639
-50,50,20501.891172
-50,50,20556.116893
-46,50,20610.363527
-50,50,20664.668864
-50,50,20718.939666
-50,50,20773.194661
-50,50,20827.425751
-49,50,20881.673683
-50,50,20935.884982
-49,50,20990.128098
-49,50,21044.369788
-49,50,21098.637008
-49,50,21152.886182
-49,50,21207.130275
-50,50,21261.418204
-50,50,21315.619461
-50,50,21369.861788
-50,50,21424.032552
-48,50,21478.213781
-50,50,21532.432579
-48,50,21586.627236
-50,50,21640.849983
-49,50,21695.157454
-50,50,21749.350352
-50,50,21803.562749
-49,50,21857.746091
-47,50,21911.986721
-49,50,21966.229285
-49,50,22020.453581
-50,50,22074.640783
-3,50,22128.875519
-23,50,22180.669972
-4,50,22232.473793
-2,50,22284.277519
-3,50,22336.075997
-8,50,22387.889862
-5,50,22439.714956
-4,50,22491.537052
-2,50,22543.334094
-2,50,22595.13864
-48,50,22646.987974
-50,50,22701.20536
-50,50,22755.512124
-49,50,22809.703489
-48,50,22863.94567
-48,50,22918.157866
-50,50,22972.345747
-49,50,23026.562778
-48,50,23080.771671
-48,50,23134.955978
-50,50,23189.214655
-50,50,23243.442573
-49,50,23297.64176
-50,50,23351.875931
-47,50,23406.122175
-50,50,23460.35865
-49,50,23514.589728
-50,50,23568.792236
-48,50,23622.997384
-50,50,23677.222146
-50,50,23731.469012
-50,50,23785.727076
-49,50,23839.88834
-49,50,23894.08708
-50,50,23948.242157
-49,50,24002.456135
-45,50,24056.720675
-49,50,24110.920463
-49,50,24165.120826
-50,50,24219.35516
-50,50,24273.553617
-47,50,24327.771647
-50,50,24382.00664
-49,50,24436.188545
-48,50,24490.388363
-50,50,24544.599957
-50,50,24598.832284
-50,50,24653.069141
-49,50,24707.283832
-49,50,24761.550126
-48,50,24815.773236
-50,50,24870.056751
-50,50,24924.286224
-50,50,24978.511099
-50,50,25032.731254
-49,50,25087.010805
-50,50,25141.209114
-50,50,25195.464899
-49,50,25249.703714
-49,50,25303.96816
-20,50,25358.246324
-25,50,25410.044128
-3,50,25461.84038
-20,50,25513.647588
-6,50,25565.445394
-4,50,25617.253026
-3,50,25669.053949
-29,50,25720.850846
-5,50,25772.655821
-2,50,25824.457834
-47,50,25876.32112
-50,50,25930.646825
-49,50,25984.847667
-49,50,26039.144408
-50,50,26093.426211
-49,50,26147.629404
-50,50,26201.985818
-50,50,26256.20729
-50,50,26310.403802
-50,50,26364.608956
-49,50,26418.851205
-46,50,26473.077826
-50,50,26527.288756
-47,50,26581.600562
-50,50,26635.780269
-49,50,26690.038637
-50,50,26744.288665
-50,50,26798.638542
-50,50,26852.851949
-48,50,26907.066486
-50,50,26961.323401
-50,50,27015.597639
-49,50,27069.827446
-47,50,27124.115869
-50,50,27178.322881
-49,50,27232.556215
-48,50,27286.842044
-49,50,27341.030998
-50,50,27395.242958
-50,50,27449.442725
-50,50,27503.697652
-50,50,27557.926949
-50,50,27612.159971
-48,50,27666.376124
-49,50,27720.588309
-49,50,27774.819412
-50,50,27829.035114
-49,50,27883.237363
-50,50,27937.442799
-49,50,27991.614145
-49,50,28045.842842
-49,50,28100.09761
-49,50,28154.418816
-50,50,28208.642725
-49,50,28262.905801
-50,50,28317.102172
-50,50,28371.345212
-49,50,28425.612852
-48,50,28479.868148
-49,50,28534.091774
-4,50,28588.319913
-2,50,28640.12196
-3,50,28691.922577
-3,50,28743.726784
-4,50,28795.532138
-2,50,28847.343629
-4,50,28899.146231
-4,50,28950.963718
-2,50,29002.813778
-2,50,29054.636212
-50,50,29106.455185
-48,50,29160.683505
-49,50,29214.904871
-50,50,29269.109449
-50,50,29323.340932
-50,50,29377.579271
-49,50,29431.793917
-48,50,29486.012184
-50,50,29540.25392
-50,50,29594.474151
-50,50,29648.718071
-50,50,29702.945416
-50,50,29757.114746
-50,50,29811.339637
-50,50,29865.546533
-49,50,29919.79224
-50,50,29974.038036
-50,50,30028.24907
-46,50,30082.466192
-48,50,30136.714278
-48,50,30190.89963
-49,50,30245.159375
-50,50,30299.451427
-50,50,30353.682832
-49,50,30407.957491
-48,50,30462.152967
-50,50,30516.377311
-49,50,30570.599558
-50,50,30624.827682
-49,50,30679.039852
-49,50,30733.288886
-49,50,30787.534985
-49,50,30841.789374
-49,50,30896.036476
-50,50,30950.247878
-50,50,31004.460105
-50,50,31058.732903
-50,50,31112.971292
-50,50,31167.25806
-50,50,31221.506177
-50,50,31275.748823
-48,50,31329.979781
-48,50,31384.233808
-49,50,31438.433775
-48,50,31492.640071
-50,50,31546.892915
-48,50,31601.111605
-49,50,31655.319413
-50,50,31709.617435
-50,50,31763.812901
-4,50,31818.099524
-3,50,31869.903827
-3,50,31921.697812
-2,50,31973.498484
-2,50,32025.293935
-5,50,32077.101011
-4,50,32128.90164
-2,50,32180.700006
-3,50,32232.495342
-2,50,32284.306028
-48,50,32336.137175
-50,50,32390.456304
-50,50,32444.719069
-50,50,32498.964176
-49,50,32553.188461
-50,50,32607.405358
-49,50,32661.619949
-49,50,32715.910375
-49,50,32770.152045
-49,50,32824.376598
-49,50,32878.611053
-49,50,32932.882348
-50,50,32987.117998
-50,50,33041.511752
-50,50,33095.774383
-50,50,33149.963461
-49,50,33204.216189
-49,50,33258.393096
-50,50,33312.620567
-49,50,33366.845833
-49,50,33421.103956
-49,50,33475.352638
-50,50,33529.566267
-49,50,33583.81302
-50,50,33638.164074
-48,50,33692.457407
-49,50,33746.631189
-48,50,33801.067443
-50,50,33855.337687
-49,50,33909.56365
-50,50,33963.7587
-49,50,34017.986637
-49,50,34072.197711
-49,50,34126.454181
-50,50,34180.663373
-49,50,34234.97378
-50,50,34289.166242
-49,50,34343.342706
-49,50,34397.621423
-49,50,34451.849458
-50,50,34506.08909
-50,50,34560.292233
-50,50,34614.61175
-50,50,34668.819388
-50,50,34723.022455
-49,50,34777.229961
-50,50,34831.517712
-49,50,34885.752353
-48,50,34939.99359
-50,50,34994.191858
-2,50,35048.395766
-3,50,35100.201389
-2,50,35151.993274
-2,50,35203.793596
-3,50,35255.597318
-3,50,35307.411373
-3,50,35359.217422
-5,50,35411.026721
-4,50,35462.85978
-3,50,35514.685485
-49,50,35566.522504
-49,50,35620.780647
-49,50,35675.015269
-50,50,35729.230718
-50,50,35783.507777
-49,50,35837.729454
-50,50,35891.969535
-50,50,35946.198981
-50,50,36000.404051
-50,50,36054.621389
-50,50,36108.878963
-50,50,36163.100046
-50,50,36217.295996
-47,50,36271.490134
-49,50,36325.680893
-50,50,36379.880997
-50,50,36434.074882
-49,50,36488.309679
-50,50,36542.503723
-49,50,36596.743127
-49,50,36650.942837
-48,50,36705.207657
-50,50,36759.446705
-49,50,36813.701936
-49,50,36867.931751
-50,50,36922.18491
-50,50,36976.417565
-50,50,37030.649042
-50,50,37084.851828
-49,50,37139.082376
-48,50,37193.41111
-50,50,37247.617445
-49,50,37301.82712
-50,50,37356.089245
-50,50,37410.329216
-50,50,37464.643559
-49,50,37518.853856
-49,50,37573.045514
-47,50,37627.265545
-49,50,37681.475816
-47,50,37735.656627
-50,50,37789.923293
-50,50,37844.162253
-50,50,37898.355674
-47,50,37952.648486
-49,50,38006.848094
-50,50,38061.063633
-46,50,38115.284835
-47,50,38169.483439
-48,50,38223.699996
-3,50,38277.925055
-2,50,38329.720247
-3,50,38381.525036
-4,50,38433.325803
-4,50,38485.130735
-3,50,38536.932858
