# {"t_start": 1602725079.5401027, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-49,50,15563.23346
-48,50,15617.405491
-7,50,15671.603637
-27,50,15723.394917
-36,50,15775.185512
-18,50,15826.981406
-27,50,15878.778036
-39,50,15930.563179
-26,50,15982.362585
-9,50,16034.178118
-9,50,16085.97286
-22,50,16137.771894
-49,50,16189.562294
-49,50,16243.829288
-49,50,16297.985986
-49,50,16352.222447
-49,50,16406.407856
-48,50,16460.593598
-49,50,16514.849831
-48,50,16569.018836
-50,50,16623.265894
-48,50,16677.507235
-49,50,16731.678102
-50,50,16785.883462
-49,50,16840.076021
-49,50,16894.279007
-50,50,16948.475942
-49,50,17002.647517
-50,50,17056.839143
-48,50,17111.072142
-50,50,17165.284241
-48,50,17219.478711
-50,50,17273.701701
-50,50,17327.885365
-50,50,17382.087888
-49,50,17436.315861
-48,50,17490.499464
-48,50,17544.714557
-49,50,17598.905471
-50,50,17653.093214
-50,50,17707.268524
-49,50,17761.443498
-50,50,17815.64503
-49,50,17869.844679
-50,50,17924.042751
-49,50,17978.251418
-48,50,18032.407593
-50,50,18086.64176
-49,50,18140.860097
-47,50,18195.053775
-49,50,18249.240237
-47,50,18303.450113
-50,50,18357.634631
-48,50,18411.861085
-50,50,18466.058053
-50,50,18520.256731
-50,50,18574.432795
-47,50,18628.609473
-49,50,18682.808501
-50,50,18737.04036
-48,50,18791.264487
-50,50,18845.432346
-4,50,18899.601291
-2,50,18951.394399
-9,50,19003.20663
-3,50,19055.020204
-4,50,19106.814048
-4,50,19158.607207
-4,50,19210.404955
-2,50,19262.207371
-19,50,19314.023582
-5,50,19365.88327
-49,50,19417.727811
-50,50,19471.911149
-49,50,19526.121314
-50,50,19580.341573
-50,50,19634.601751
-50,50,19688.780275
-49,50,19743.031657
-49,50,19797.206062
-49,50,19851.431902
-47,50,19905.612451
-50,50,19959.780236
-47,50,20014.030346
-50,50,20068.260776
-50,50,20122.49744
-49,50,20176.677937
-50,50,20230.887857
-48,50,20285.077101
-50,50,20339.301098
-47,50,20393.570828
-50,50,20447.847032
-50,50,20502.067112
-50,50,20556.291314
-50,50,20610.540731
-50,50,20664.846348
-49,50,20719.116336
-49,50,20773.369986
-50,50,20827.601402
-48,50,20881.854211
-49,50,20936.061962
-50,50,20990.31137
-50,50,21044.551435
-48,50,21098.813464
-49,50,21153.065513
-49,50,21207.306873
-49,50,21261.562363
-49,50,21315.800302
-49,50,21370.033611
-50,50,21424.189581
-50,50,21478.388187
-50,50,21532.610158
-49,50,21586.807796
-50,50,21641.028262
-49,50,21695.333576
-48,50,21749.537966
-49,50,21803.73977
-50,50,21857.921522
-50,50,21912.165429
-50,50,21966.40265
-50,50,22020.627572
-48,50,22074.818029
-4,50,22129.055366
-25,50,22180.848088
-5,50,22232.652493
-3,50,22284.454833
-3,50,22336.250392
-3,50,22388.051306
-31,50,22439.864164
-4,50,22491.688281
-4,50,22543.498497
-3,50,22595.286041
-50,50,22647.105472
-50,50,22701.384383
-49,50,22755.678845
-50,50,22809.883251
-50,50,22864.121334
-49,50,22918.333664
-50,50,22972.520731
-49,50,23026.739447
-50,50,23080.950731
-49,50,23135.131696
-50,50,23189.392038
-50,50,23243.621979
-50,50,23297.818904
-49,50,23352.061174
-49,50,23406.296471
-49,50,23460.535021
-49,50,23514.767324
-49,50,23568.971153
-49,50,23623.17389
-50,50,23677.396716
-49,50,23731.650705
-49,50,23785.902715
-50,50,23840.070042
-50,50,23894.281862
-49,50,23948.417102
-49,50,24002.633385
-50,50,24056.902817
-50,50,24111.10166
-50,50,24165.307498
-50,50,24219.535422
-50,50,24273.730979
-50,50,24327.949059
-50,50,24382.1831
-50,50,24436.366211
-50,50,24490.567888
-46,50,24544.757711
-48,50,24599.008119
-49,50,24653.247353
-49,50,24707.475344
-49,50,24761.726618
-50,50,24815.951744
-47,50,24870.231933
-50,50,24924.4682
-49,50,24978.687058
-50,50,25032.908793
-48,50,25087.191449
-50,50,25141.385134
-48,50,25195.636003
-49,50,25249.879629
-49,50,25304.146423
-2,50,25358.424354
-3,50,25410.21748
-2,50,25462.019527
-19,50,25513.825382
-2,50,25565.622778
-4,50,25617.430153
-4,50,25669.229725
-2,50,25721.033787
-2,50,25772.833205
-4,50,25824.635584
-47,50,25876.49443
-49,50,25930.822648
-48,50,25985.026992
-49,50,26039.322817
-49,50,26093.573289
-50,50,26147.815356
-47,50,26202.162838
-50,50,26256.386054
-49,50,26310.583036
-49,50,26364.785943
-50,50,26419.025192
-50,50,26473.255128
-48,50,26527.463838
-50,50,26581.777707
-49,50,26635.955022
-50,50,26690.216785
-47,50,26744.463732
-50,50,26798.810076
-50,50,26853.029913
-50,50,26907.243444
