# {"t_start": 1602725079.4378743, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-50,50,32.796317
-50,50,92.381343
-50,50,146.546186
-50,50,200.737068
-50,50,254.978841
-50,50,309.317451
-50,50,363.554331
-50,50,417.799258
-50,50,473.202473
-50,50,527.573236
-50,50,582.082028
-50,50,636.327205
-50,50,690.545737
-50,50,744.892821
-50,50,799.246393
-50,50,853.586581
-50,50,908.052016
-50,50,962.38097
-50,50,1016.676518
-50,50,1071.171499
-49,50,1125.8931
-50,50,1180.33911
-50,50,1234.919186
-49,50,1289.217233
-50,50,1343.710759
-50,50,1398.200907
-50,50,1452.560391
-50,50,1506.770844
-50,50,1560.938871
-50,50,1615.190114
-49,50,1669.481313
-50,50,1723.684084
-49,50,1777.878335
-50,50,1832.165723
-50,50,1886.391179
-50,50,1940.657624
-50,50,1994.920973
-48,50,2049.115835
-50,50,2103.348058
-48,50,2157.687831
-50,50,2212.133738
-49,50,2266.53884
-50,50,2320.903436
-50,50,2375.109687
-50,50,2429.352612
-50,50,2483.561522
-46,50,2537.743401
-50,50,2591.918344
-50,50,2646.195176
-50,50,2700.679044
-49,50,2755.343134
-49,50,2807.135545
-46,50,2858.925178
-48,50,2910.716734
-49,50,2962.508326
-47,50,3014.304339
-49,50,3066.095719
-50,50,3117.889438
-48,50,3169.687125
-48,50,3221.469133
-45,50,3273.305882
-50,50,3327.54942
-49,50,3381.727181
-47,50,3435.969601
-49,50,3490.169094
-48,50,3544.381354
-47,50,3598.615588
-50,50,3652.808788
-48,50,3707.037477
-48,50,3761.213797
-49,50,3815.415286
-47,50,3869.626242
-46,50,3923.850088
-48,50,3978.088827
-48,50,4032.281537
-48,50,4086.452046
-49,50,4140.63891
-49,50,4194.871245
-48,50,4249.082194
-47,50,4303.257404
-48,50,4357.461502
-50,50,4411.637783
-49,50,4465.838171
-49,50,4520.016632
-50,50,4574.224316
-48,50,4628.416209
-49,50,4682.631216
-49,50,4736.818886
-48,50,4791.019586
-49,50,4845.191035
-49,50,4899.396071
-49,50,4953.564374
-49,50,5007.78474
-48,50,5062.011629
-50,50,5116.186777
-49,50,5170.422086
-49,50,5224.635024
-48,50,5278.819399
-49,50,5333.050574
-48,50,5387.238844
-48,50,5441.454679
-49,50,5495.657769
-47,50,5549.837427
-50,50,5604.009637
-49,50,5658.19132
-47,50,5712.39076
-47,50,5766.568007
-49,50,5820.795194
-44,50,5874.985836
-49,50,5929.191989
-46,50,5983.415408
-39,50,6035.206935
-44,50,6086.99741
-40,50,6138.787026
-37,50,6190.573954
-44,50,6242.348809
-46,50,6294.137742
-34,50,6345.930162
-45,50,6397.724466
-46,50,6449.518857
-49,50,6501.304732
-49,50,6556.195875
-49,50,6610.822453
-49,50,6664.980677
-48,50,6719.174961
-45,50,6774.038905
-48,50,6828.42881
-49,50,6882.797162
-49,50,6936.998016
-48,50,6991.170069
-48,50,7045.387396
-50,50,7099.792529
-49,50,7154.060315
-50,50,7208.991688
-48,50,7263.159242
-49,50,7317.333481
-50,50,7371.561052
-48,50,7425.960429
-48,50,7480.140675
-47,50,7534.307887
-49,50,7588.539382
-47,50,7642.757683
-50,50,7697.509154
-49,50,7751.74612
-48,50,7806.396627
-47,50,7860.704303
-49,50,7915.338349
-49,50,7969.678268
-49,50,8023.958042
-50,50,8078.283581
-49,50,8132.519648
-49,50,8186.872681
-50,50,8241.022792
-50,50,8295.191594
-49,50,8349.353604
-50,50,8403.564793
-48,50,8457.754487
-50,50,8511.913417
-49,50,8566.104866
-44,50,8620.349098
-49,50,8674.481957
-49,50,8728.685949
-47,50,8782.898324
-48,50,8837.060518
-49,50,8891.279554
-48,50,8945.458959
-49,50,8999.618936
-49,50,9053.773513
-49,50,9107.967657
-50,50,9162.152315
-13,50,9216.299314
-45,50,9268.091152
-32,50,9319.885017
-38,50,9371.672392
-27,50,9423.462082
-3,50,9475.255532
-4,50,9527.04996
-36,50,9578.848378
-29,50,9630.648823
-27,50,9682.439666
-48,50,9734.277115
-50,50,9788.547091
-50,50,9842.740674
-49,50,9896.889891
-49,50,9951.07539
-48,50,10005.334263
-50,50,10059.523703
-49,50,10113.698064
-48,50,10167.875561
-50,50,10222.066267
-48,50,10276.236171
-49,50,10330.439849
-49,50,10384.622851
-49,50,10438.800986
-46,50,10492.947582
-48,50,10547.157346
-48,50,10601.327269
-50,50,10655.536764
-47,50,10709.766441
-46,50,10763.963368
-49,50,10818.172642
-49,50,10872.340026
-47,50,10926.588387
-50,50,10980.791014
-50,50,11035.003291
-49,50,11089.168548
-46,50,11143.366197
-49,50,11197.491997
-48,50,11251.685184
-50,50,11305.860465
-47,50,11360.025111
-49,50,11414.211053
-49,50,11468.391796
-49,50,11522.58323
-49,50,11576.775394
-50,50,11630.974161
-50,50,11685.190867
-48,50,11739.39154
-49,50,11793.599331
-48,50,11847.798564
-49,50,11901.941564
-48,50,11956.130084
-50,50,12010.327734
-49,50,12064.53908
-47,50,12118.733127
-49,50,12172.92908
-49,50,12227.127042
-49,50,12281.293136
-47,50,12335.471564
-50,50,12389.667473
-8,50,12443.84899
-3,50,12495.646993
-3,50,12547.43963
-2,50,12599.233846
-11,50,12651.018795
-25,50,12702.822386
-28,50,12754.611387
-4,50,12806.398872
-39,50,12858.19961
-12,50,12910.00242
-50,50,12961.820194
-48,50,13016.13838
-48,50,13070.340235
-48,50,13124.564244
-47,50,13178.760399
-50,50,13232.927452
-49,50,13287.104141
-50,50,13341.262856
-49,50,13395.478743
-50,50,13449.638498
-49,50,13503.828326
-50,50,13558.051401
-50,50,13612.291668
-50,50,13666.551306
-47,50,13720.744101
-46,50,13774.933462
-49,50,13829.12439
-50,50,13883.326386
-47,50,13937.522958
-50,50,13991.733647
-48,50,14045.927791
-47,50,14100.145812
-49,50,14154.334829
-48,50,14208.541265
-49,50,14262.750396
-49,50,14316.934514
-50,50,14371.132025
-49,50,14425.286487
-50,50,14479.488805
-50,50,14533.676796
-48,50,14587.854791
-48,50,14642.015955
-49,50,14696.194016
-50,50,14750.396383
-47,50,14804.579854
-49,50,14858.750898
-49,50,14912.976984
-47,50,14967.185499
-50,50,15021.363624
-49,50,15075.544696
-49,50,15129.787192
-49,50,15183.959301
-50,50,15238.156784
-49,50,15292.382728
-49,50,15346.606157
-49,50,15400.779549
-48,50,15454.948495
-50,50,15509.11503
-49,50,15563.333282
-50,50,15617.507776
-28,50,15671.701978
-24,50,15723.504037
-24,50,15775.312498
-29,50,15827.103279
-24,50,15878.892401
-30,50,15930.706007
-36,50,15982.496887
-8,50,16034.29171
-19,50,16086.109602
-22,50,16137.907659
-50,50,16189.721838
-50,50,16243.929583
-49,50,16298.088317
-50,50,16352.325261
-47,50,16406.517615
-48,50,16460.696572
-50,50,16514.958824
-50,50,16569.12157
-49,50,16623.379827
-50,50,16677.607599
-48,50,16731.777204
-46,50,16785.98661
-48,50,16840.175776
-49,50,16894.389804
-48,50,16948.577258
-49,50,17002.749643
-50,50,17056.951699
-50,50,17111.169722
-49,50,17165.393997
-49,50,17219.583698
-50,50,17273.810504
-48,50,17327.994397
-49,50,17382.192045
-49,50,17436.415885
-50,50,17490.598027
-49,50,17544.809799
-50,50,17599.005079
-50,50,17653.196511
-48,50,17707.36722
-48,50,17761.544893
-47,50,17815.733845
-48,50,17869.947607
-50,50,17924.143796
-50,50,17978.353596
-50,50,18032.50964
-49,50,18086.741775
-48,50,18140.969447
-49,50,18195.152337
-49,50,18249.34461
-49,50,18303.557342
-50,50,18357.736933
-50,50,18411.962938
-46,50,18466.165473
-50,50,18520.375242
-46,50,18574.532271
-49,50,18628.714919
-49,50,18682.909719
-48,50,18737.136045
-47,50,18791.359792
-48,50,18845.528589
-2,50,18899.703237
-14,50,18951.495467
-2,50,19003.286746
-4,50,19055.077401
-3,50,19106.865032
-4,50,19158.666483
-23,50,19210.459111
-23,50,19262.253873
-4,50,19314.060693
-5,50,19365.86098
-48,50,19417.728759
-48,50,19472.011811
-50,50,19526.220284
-49,50,19580.443772
-50,50,19634.703645
-50,50,19688.881234
-49,50,19743.131344
-49,50,19797.309497
-49,50,19851.535434
-48,50,19905.713011
-50,50,19959.882181
-49,50,20014.131419
-47,50,20068.368107
-49,50,20122.599427
-48,50,20176.774966
-50,50,20230.991147
-47,50,20285.175258
-49,50,20339.403049
-49,50,20393.710806
-49,50,20447.953399
-50,50,20502.170288
-48,50,20556.393489
-49,50,20610.64315
-47,50,20664.949705
-50,50,20719.220542
-49,50,20773.470851
-50,50,20827.702211
-49,50,20881.954989
-49,50,20936.164185
-50,50,20990.407399
-49,50,21044.652752
-50,50,21098.946049
-49,50,21153.185721
-50,50,21207.39496
-48,50,21261.660167
-49,50,21315.910444
-50,50,21370.137283
-49,50,21424.290092
-48,50,21478.49539
-50,50,21532.710001
-50,50,21586.906847
-49,50,21641.131268
-48,50,21695.435269
-50,50,21749.640292
-49,50,21803.841203
-50,50,21858.02565
-50,50,21912.2659
-50,50,21966.507139
-48,50,22020.728983
-50,50,22074.920349
-32,50,22129.155656
-2,50,22180.950149
-13,50,22232.752819
-28,50,22284.553144
-3,50,22336.357076
-4,50,22388.150254
-2,50,22439.943881
-32,50,22491.744087
-3,50,22543.543206
-5,50,22595.334505
-48,50,22647.176018
-47,50,22701.48668
-48,50,22755.782336
-50,50,22809.983133
-49,50,22864.224652
-50,50,22918.444095
-49,50,22972.622348
-50,50,23026.844231
-48,50,23081.054232
-49,50,23135.234708
-49,50,23189.493514
-48,50,23243.721073
-50,50,23297.92151
-48,50,23352.155653
-50,50,23406.403727
-50,50,23460.636658
-49,50,23514.86926
-50,50,23569.073066
-49,50,23623.275894
-46,50,23677.497702
-49,50,23731.745272
-50,50,23786.002216
-50,50,23840.17057
-49,50,23894.38409
-48,50,23948.51922
-48,50,24002.733273
-49,50,24057.001434
-50,50,24111.200375
-50,50,24165.405298
-49,50,24219.631887
-50,50,24273.832013
-50,50,24328.050466
-49,50,24382.286734
-50,50,24436.473481
-49,50,24490.669249
-50,50,24544.859851
-50,50,24599.111043
-49,50,24653.352314
-50,50,24707.564824
-50,50,24761.832391
-49,50,24816.057448
-49,50,24870.333889
-47,50,24924.596718
-50,50,24978.790556
-49,50,25033.015546
-49,50,25087.290848
-50,50,25141.48746
-49,50,25195.746617
-50,50,25249.981967
-49,50,25304.284132
-5,50,25358.526419
-4,50,25410.323111
-3,50,25462.121114
-3,50,25513.925368
-4,50,25565.725925
-2,50,25617.531163
-33,50,25669.331775
-4,50,25721.141977
-4,50,25772.951926
-2,50,25824.769825
-50,50,25876.598867
-50,50,25930.924029
-50,50,25985.125352
-50,50,26039.423985
-48,50,26093.67706
