# {"t_start": 1602725079.638984, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-50,50,34.707083
-50,50,92.134871
-50,50,146.348121
-50,50,200.535631
-50,50,254.777892
-50,50,309.125777
-50,50,363.351629
-50,50,417.60097
-50,50,473.001969
-50,50,527.383296
-50,50,581.88203
-50,50,636.124216
-50,50,690.342548
-50,50,744.691423
-50,50,799.047242
-50,50,853.389412
-50,50,907.855216
-50,50,962.171729
-50,50,1016.470707
-50,50,1070.976885
-49,50,1125.690525
-50,50,1180.142894
-50,50,1234.715763
-50,50,1289.015841
-50,50,1343.508083
-49,50,1397.997317
-50,50,1452.361615
-49,50,1506.570929
-50,50,1560.735677
-50,50,1614.982991
-50,50,1669.277184
-49,50,1723.478726
-50,50,1777.676076
-50,50,1831.967698
-49,50,1886.190881
-50,50,1940.448058
-50,50,1994.725841
-49,50,2048.915237
-48,50,2103.139763
-50,50,2157.487733
-48,50,2211.926932
-46,50,2266.343346
-45,50,2320.700696
-49,50,2374.907131
-50,50,2429.148696
-46,50,2483.349948
-49,50,2537.546459
-47,50,2591.717162
-49,50,2646.001216
-50,50,2700.480937
-47,50,2755.14395
-48,50,2806.941557
-44,50,2858.72155
-50,50,2910.517205
-50,50,2962.306887
-41,50,3014.099046
-48,50,3065.887263
-50,50,3117.686482
-48,50,3169.473486
-49,50,3221.270482
-49,50,3273.110793
-50,50,3327.347403
-49,50,3381.524522
-50,50,3435.762652
-50,50,3489.971056
-50,50,3544.177146
-46,50,3598.420926
-48,50,3652.600934
-48,50,3706.834784
-49,50,3761.011865
-49,50,3815.217639
-48,50,3869.433737
-48,50,3923.648464
-50,50,3977.889192
-49,50,4032.082614
-49,50,4086.254782
-47,50,4140.442121
-49,50,4194.669269
-49,50,4248.879042
-50,50,4303.057302
-49,50,4357.260535
-49,50,4411.439609
-48,50,4465.638729
-48,50,4519.813349
-47,50,4574.035471
-49,50,4628.213125
-48,50,4682.423844
-48,50,4736.619592
-44,50,4790.820587
-50,50,4844.982961
-49,50,4899.185878
-46,50,4953.368811
-48,50,5007.584121
-50,50,5061.810562
-48,50,5115.985159
-47,50,5170.219594
-50,50,5224.446862
-47,50,5278.616395
-47,50,5332.853093
-48,50,5387.042
-50,50,5441.233276
-50,50,5495.46637
-48,50,5549.63736
-48,50,5603.809419
-49,50,5657.980989
-49,50,5712.184696
-48,50,5766.368314
-49,50,5820.595061
-49,50,5874.786637
-49,50,5928.992282
-32,50,5983.215534
-45,50,6035.00102
-37,50,6086.793081
-31,50,6138.572828
-34,50,6190.369574
-43,50,6242.156046
-45,50,6293.942036
-45,50,6345.73883
-35,50,6397.52224
-43,50,6449.295924
-49,50,6501.087134
-43,50,6555.993726
-50,50,6610.622999
-47,50,6664.77331
-50,50,6718.978107
-49,50,6773.836435
-45,50,6828.217719
-47,50,6882.597946
-49,50,6936.798495
-48,50,6990.964309
-47,50,7045.185751
-49,50,7099.587125
-48,50,7153.864785
-49,50,7208.782444
-46,50,7262.950913
-50,50,7317.127818
-46,50,7371.362426
-49,50,7425.749843
-47,50,7479.937309
-48,50,7534.108718
-50,50,7588.343337
-49,50,7642.557998
-49,50,7697.308051
-48,50,7751.542095
-49,50,7806.192924
-48,50,7860.493421
-48,50,7915.137798
-48,50,7969.478246
-49,50,8023.752252
-48,50,8078.082444
-50,50,8132.320929
-50,50,8186.664884
-48,50,8240.822859
-48,50,8294.994256
-49,50,8349.164423
-49,50,8403.358439
-48,50,8457.549482
-49,50,8511.712163
-50,50,8565.898987
-49,50,8620.128289
-48,50,8674.286128
-47,50,8728.483717
-49,50,8782.698852
-47,50,8836.845477
-49,50,8891.076731
-48,50,8945.252028
-49,50,8999.406183
-48,50,9053.570722
-49,50,9107.75886
-49,50,9161.949291
-34,50,9216.099324
-12,50,9267.890433
-3,50,9319.682984
-31,50,9371.470629
-30,50,9423.262566
-3,50,9475.054189
-4,50,9526.851556
-7,50,9578.651551
-24,50,9630.449626
-28,50,9682.251803
-49,50,9734.064477
-48,50,9788.35337
-49,50,9842.539565
-46,50,9896.689329
-49,50,9950.874221
-47,50,10005.139756
-48,50,10059.32597
-50,50,10113.479054
-50,50,10167.673243
-49,50,10221.865238
-48,50,10276.0356
-48,50,10330.217976
-50,50,10384.425923
-50,50,10438.60565
-50,50,10492.74587
-49,50,10546.958221
-48,50,10601.13286
-48,50,10655.336408
-50,50,10709.562688
-48,50,10763.762243
-49,50,10817.972644
-50,50,10872.138892
-47,50,10926.385502
-47,50,10980.584439
-50,50,11034.803191
-49,50,11088.973034
-49,50,11143.161068
-50,50,11197.29795
-48,50,11251.491238
-48,50,11305.659539
-50,50,11359.826066
-49,50,11414.006495
-48,50,11468.196198
-49,50,11522.385728
-50,50,11576.578222
-47,50,11630.774786
-50,50,11684.987728
-49,50,11739.189909
-49,50,11793.394602
-50,50,11847.598615
-49,50,11901.743489
-48,50,11955.932006
-47,50,12010.122638
-48,50,12064.348835
-50,50,12118.530036
-48,50,12172.728936
-49,50,12226.926546
-49,50,12281.091752
-48,50,12335.271552
-49,50,12389.464877
-9,50,12443.655388
-2,50,12495.44752
-5,50,12547.240457
-2,50,12599.035132
-40,50,12650.830052
-11,50,12702.641576
-5,50,12754.448549
-3,50,12806.26052
-24,50,12858.053233
-2,50,12909.845527
-49,50,12961.629505
-50,50,13015.945232
-49,50,13070.130599
-48,50,13124.36659
-48,50,13178.568607
-49,50,13232.729666
-49,50,13286.909312
-49,50,13341.061506
-48,50,13395.276196
-50,50,13449.441135
-50,50,13503.628623
-49,50,13557.845525
-47,50,13612.095122
-50,50,13666.362576
-50,50,13720.539151
-49,50,13774.726874
-50,50,13828.927338
-50,50,13883.119342
-48,50,13937.31444
-47,50,13991.53287
-48,50,14045.730147
-49,50,14099.948009
-49,50,14154.132068
-49,50,14208.342871
-50,50,14262.552639
-49,50,14316.728465
-49,50,14370.929824
-49,50,14425.08592
-49,50,14479.29293
-48,50,14533.473477
-50,50,14587.666926
-50,50,14641.816878
-48,50,14696.011302
-50,50,14750.191656
-47,50,14804.380207
-50,50,14858.54876
-49,50,14912.777454
-50,50,14966.979453
-50,50,15021.151332
-50,50,15075.337137
-49,50,15129.582498
-49,50,15183.766193
-50,50,15237.956145
-49,50,15292.181935
-48,50,15346.406912
-48,50,15400.590349
-49,50,15454.74643
-49,50,15508.923014
-50,50,15563.131649
-50,50,15617.301721
-39,50,15671.505625
-30,50,15723.295843
-20,50,15775.086787
-32,50,15826.882038
-24,50,15878.676216
-36,50,15930.466166
-36,50,15982.270114
-9,50,16034.074149
-17,50,16085.875339
-27,50,16137.673344
-50,50,16189.463058
-50,50,16243.72536
-49,50,16297.885676
-50,50,16352.126206
-49,50,16406.31292
-50,50,16460.522311
-49,50,16514.750056
-49,50,16568.922768
-50,50,16623.1743
-50,50,16677.413863
-49,50,16731.574574
-48,50,16785.78458
-50,50,16839.983178
-50,50,16894.188458
-48,50,16948.374919
-49,50,17002.548081
-49,50,17056.744882
-50,50,17110.966993
-50,50,17165.188996
-49,50,17219.382317
-48,50,17273.605801
-48,50,17327.791974
-50,50,17381.992926
-49,50,17436.214655
-49,50,17490.401208
-50,50,17544.612068
-48,50,17598.802987
-49,50,17652.997367
-48,50,17707.166757
-49,50,17761.345979
-50,50,17815.540785
-49,50,17869.744895
-50,50,17923.941872
-50,50,17978.147659
-50,50,18032.313583
-50,50,18086.541083
-50,50,18140.759738
-49,50,18194.951738
-46,50,18249.143826
-47,50,18303.358659
-49,50,18357.536961
-50,50,18411.762021
-48,50,18465.961835
-50,50,18520.159372
-49,50,18574.333243
-49,50,18628.515139
-49,50,18682.716674
-50,50,18736.942043
-49,50,18791.162857
-49,50,18845.333427
-15,50,18899.502537
-3,50,18951.291322
-2,50,19003.089759
-3,50,19054.879811
-3,50,19106.660711
-4,50,19158.461856
-13,50,19210.252489
-3,50,19262.044723
-4,50,19313.855617
-4,50,19365.660327
-49,50,19417.500467
-50,50,19471.807128
-49,50,19526.015656
-50,50,19580.24746
-48,50,19634.508628
-49,50,19688.676013
-50,50,19742.930252
-49,50,19797.107415
-50,50,19851.334548
-50,50,19905.510245
-49,50,19959.679121
-50,50,20013.930233
-50,50,20068.161894
-50,50,20122.396144
-49,50,20176.573641
-49,50,20230.792577
-49,50,20284.978487
-48,50,20339.203703
-48,50,20393.473587
-50,50,20447.744728
-50,50,20501.972171
-48,50,20556.193307
-50,50,20610.445064
-49,50,20664.777433
-50,50,20719.017085
-50,50,20773.26987
-50,50,20827.503057
-49,50,20881.752769
-48,50,20935.963076
-47,50,20990.20666
-50,50,21044.447355
-49,50,21098.715418
-50,50,21152.971616
-50,50,21207.189996
-48,50,21261.459154
-49,50,21315.699291
-50,50,21369.934772
-47,50,21424.088777
-49,50,21478.307171
-48,50,21532.511275
-50,50,21586.709664
-49,50,21640.930011
-49,50,21695.231375
-50,50,21749.433301
-49,50,21803.640114
-49,50,21857.824705
-46,50,21912.065222
-50,50,21966.317282
-49,50,22020.526979
-48,50,22074.719148
-2,50,22128.956284
-3,50,22180.751316
-3,50,22232.552055
-4,50,22284.358029
-32,50,22336.153922
-5,50,22387.94898
-4,50,22439.742685
-3,50,22491.544018
-3,50,22543.337656
-2,50,22595.141907
-50,50,22646.988403
-50,50,22701.287673
-50,50,22755.580352
-50,50,22809.782082
-50,50,22864.023484
-50,50,22918.232874
-49,50,22972.421157
-48,50,23026.640505
-50,50,23080.851654
-50,50,23135.03432
-50,50,23189.292755
-49,50,23243.519964
-49,50,23297.717726
-49,50,23351.959042
-49,50,23406.19984
-49,50,23460.436694
-48,50,23514.66815
